,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Receipts from Customers, Direct","Receipts from Tax Refunds, Direct","Other Cash Receipts from Operating Activities, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Payments to Employees, Direct","Taxes Paid, Direct","Other Cash Payments from Operating Activities, Direct","Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Gain/Loss for Other Investment, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Deferred Assets/Liabilities,Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Business, Net",Purchase/Acquisition of Business,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Repayments for Long Term Debt,Proceeds from Issuance of Long Term Debt,Cash Dividends and Interest Paid,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
NonCurrent Deferred Liabilities,0.009262585481233418,0.009485874702574705,0.026434522894169855,-0.013567350278926079,0.02382098458374629,0.023757629313588314,0.01618724472051703,-0.02219068889862985,0.0022111211467245808,-0.016825165286918742,-0.004043384604140104,0.0025070779631674667,-0.004571629408902603,0.03149606720000923,-0.02063864507135012,0.08796655820144136,0.12487986098436953,0.1523984826183701,0.07671967054954412,0.06184063666273481,0.09634195116604638,-0.016584506640196565,0.1217557594602469,0.08419108517411175,0.0012377092208733374,0.011564582485053987,0.028445973424322226,0.02703785946859633,0.02537208920140446,0.01058908802154636,0.009198334085963348,0.010813070199869775,-0.011163038234190334,-0.017451078925597375,0.15152560351879824,0.08556138248329798,0.0841735123682381,0.14357003198768026,0.02172366188450467,0.04838074728877984,0.041761777592690015,0.027473191774848183,0.03434688012059228,-0.012814573923621612,-0.010164885969056625,0.010097938332466512,0.08901052448154799,0.004177131395815875,0.010405854295038621,-0.02560281824662434,0.016856561273618363,0.010237591577528562,0.048692686884315,0.05251784129915756,0.0516797838496985,0.07356118137073107,-0.021811009136862125,-0.03247252177915749,0.003506941612495992,0.02408735658811573,-0.009681594002519035,0.09099615910381009,0.007627482110018159,-0.018880686064313527
Other Long-Term Liabilities,0.028037472398422164,0.02595768058298529,0.03683298333313132,0.020356335355816615,0.007969674197177132,0.03613396715454646,0.026838811501990183,0.008785793497112948,0.01653670681603618,0.02086112348267039,0.039186472928840636,0.028097128444283456,0.013872567073598928,0.03335603666365012,0.02943539237393933,0.008495581140597529,6.86211230169478e-05,0.005705624558238953,0.003970043089571259,0.07211704180496929,0.0792255690917495,0.0449023550024723,0.096009331078774,0.04160770865501211,-0.01064784509020789,0.013928487742018568,0.05688377233159348,0.06230940074114135,0.055348206134676566,0.061786859537758976,0.022348557340297982,0.03788111050589539,0.0587540929317945,0.03190371816232253,0.07097990493422937,0.03125933356093123,0.004662912926143366,0.09612799654913552,0.09214826037053014,0.014920789812414677,0.005549305098267891,0.008859525569605151,0.01446911493392433,-0.012894059322951325,0.06568372443594624,0.06166942951865014,0.0026635064387158435,-0.003323893456518198,0.015911831460173057,0.08237061865701169,0.03701816437165271,0.020972673940791296,0.1031434141626457,0.10622831163520675,0.09478082652911074,0.06644116457405186,0.01656888580755346,0.06020587983329668,0.01943661511444221,0.03413470553301261,0.0006532946551121299,0.0066103421280093045,0.002769033310784504,0.036629481682187194
Total Long-Term Liabilities,0.06469201003245384,0.056555956438657885,0.06864378204192896,0.06096669736695055,0.003420577405991672,0.036159081247234125,0.02649246890510689,0.0008970928109523629,0.03816168957843026,0.058575295501736076,0.04557144958969304,0.06735431560518278,0.05204993893751592,0.0709739615746063,0.03310783168879167,0.03426426616073851,-0.005173663623099135,0.00257378728203335,0.004822043506391496,0.07062165360683197,0.022577882382795178,0.025281487174637754,0.09259274117313547,0.011622631795827315,0.006074306584749731,0.010643911154306917,0.04419898657344005,0.08707645533338332,0.030028232791853394,0.03600394995553371,0.06792273611273565,0.05323098897278436,0.029317680824393042,0.03045330968811903,0.07815845500002973,0.007465832947638739,0.00580950988220298,0.09491789978339797,0.02686315985105987,0.03889770097755479,0.027982134515004926,0.05576337873369398,0.049957266398012505,-0.0031754130393248465,0.045321758710663004,0.0406591009158357,0.005208873377313707,0.013851716289146315,0.06129709620675936,0.021365914077158293,0.07406452688621443,0.057195293020845424,0.08345684021828331,0.09985541074090418,0.09990323514764243,0.24515455638364006,0.0552444662372593,-0.0009353616830630128,0.06298367999308781,0.038085524203574556,0.0016119906315128375,0.007715739526366869,0.02942857559142849,0.049381638503991895
Total Liabilities,-0.005726394070539171,-0.01175285644089724,0.0007876476527596821,0.03256079815529063,0.02081863918525211,0.0399455140167172,0.026499121946657832,0.04855889908205234,0.018301193838885715,-0.003649024304186446,0.0399586672024832,-0.0046083297555823905,-0.007169288909345771,0.0038076289470597396,-0.012357233426922874,0.07154013691219083,0.02715531634175982,0.029818714899022027,0.0462500548956459,0.02764416519144287,-0.012739606285039066,-0.006367067660866482,0.11520337883640992,0.007450288533556849,-0.007824403924612448,0.01603847260982148,0.009253864291134986,0.023436424103924356,0.022257421886020617,0.05734187008285322,0.00916704005458325,0.028928752073615893,0.007335141165059981,0.001344199678120322,0.07982387023410048,0.023496086712057978,0.020238164709390768,0.10565939666022166,0.05476450850050446,0.03274522918492441,0.02127116522285738,-0.00029470703801486985,-0.007440770303837788,0.010503451823417213,-0.008954834935371078,-0.01090270700710389,0.0193676421918469,0.014160183569391924,0.0018172297664442267,0.007382909753809025,0.06358597328551917,0.048001929791257565,0.03621458566780259,0.04119598159057575,0.07386577616095802,0.034688037981403436,2.5121993413688027e-05,-0.014766184557843051,-0.004747995962209107,0.008559078087521838,0.008208774474790789,0.006874395722331797,0.05600515766808352,0.01212743143539122
Common Stock,-0.0019089091666375075,0.00024001516147168032,0.0008223197463258572,0.048618690209678385,0.0008392286471089472,0.009666866248300494,-0.01093499633967283,0.005964926150697991,0.059843686494928064,0.007746921332442451,0.009778541475718272,-0.0011062159943137349,-0.002312029013175747,-0.002092917711490772,0.022189462092825532,0.023351099883939644,0.01835985377507547,0.019376525970846995,0.01260646030894756,0.033115735735977335,0.014271718638108272,0.05107433996774204,0.017953683873107373,0.004958714797293226,0.024104511444093923,0.03906753542620201,0.03193595811771841,-0.0037542138359297032,0.000676477503717504,0.02671120232145699,0.011619677465735225,0.018716441422193694,0.036104185470469945,0.04984730153309387,0.0008895036427015095,0.00520528333004568,0.016740247834149725,-0.0018245789708204103,0.018468104290761095,0.02228878387949714,0.024092875986721742,0.01408828565261197,0.0033550775634249644,0.003293006042586223,0.01403958895189172,0.027921758610669287,0.019355066944474007,-0.0023808911623083933,0.08283033650948173,0.033327530084630824,0.037207563271868735,0.0336971523350363,0.022468439148237644,0.018728116226667292,0.03453429229209553,0.01233601836922539,0.003770455008616399,0.004641723448579251,0.01225256741263291,0.021032871339745827,0.0037570667633089524,-0.001453121605722725,0.022680396669638107,0.021470772375007774
Preferred Stock,-0.05243386155554055,-0.05646953285881363,-0.02849992998408129,0.007031926060484035,-0.00010532386568484157,0.006208233432644935,-0.046240018523897225,-0.03909556346715725,0.016633371148715836,0.010810421784315639,-0.04539772402485085,-0.05648793992981749,-0.05842912623800205,-0.027017026515855955,-0.03842865048801689,0.0347543626351972,0.032836255150105534,0.0335578489174443,0.060513521871513425,-0.020910701829166867,0.021290024741255697,-0.05552513675102704,0.027419810899509046,0.02943468833444605,-0.019256733585004196,-0.006421796645752839,0.0032393975482273014,-0.03689214936884436,-0.013211926005685676,0.017894573736591073,-0.03806410342379682,-0.03767045651226362,-0.028929006281476127,-0.04003335687582571,0.06481343446661277,0.060074515437604274,0.030872165711606184,0.03326500346258004,0.021109307180936343,-0.04423558136765899,-0.04229032150804709,-0.03693274588249347,-0.006354891991074827,-0.027800223782839868,-0.04268317397825049,-0.07549937470788208,0.1662773809875641,0.04383901549909553,0.0417661604270194,-0.04210012012981901,-0.058899380535460316,-0.056872998911512325,-0.032280282461057345,-0.054152329760174665,-0.01209321355802637,0.02300872624081221,-0.04854968288403487,-0.03709032957112536,-0.043929449950758016,0.0005140084684712267,-0.005630930926934386,0.03641198204790823,0.03171920102919703,-0.04265288197276612
Retained Earnings,0.0013976948027794927,0.07729617525636383,0.08228597131725858,0.040835859489206205,-0.00867379778197699,0.06246633387834299,0.015566812785337041,0.034974129818772966,0.04534901750277392,0.00935539938635855,0.030705916105708865,0.013307978719418847,0.07959912854020257,0.022891842748747015,0.03271762387125147,0.04010025182265442,0.02628742227253682,0.030403282391354945,0.043493349626100235,-0.008640257147260867,0.035798723150683345,0.09270574535246318,0.006134422010962114,0.097070122057327,0.06377498587664057,0.0654494264543623,0.0647139292100961,-0.018346189781082545,0.006006294696901135,-0.00419462090884442,0.02209431638663292,0.039384137906457756,0.023146945050575726,0.013886420127502574,0.0865039662704207,0.0076204510020926215,-0.003992979906547274,-0.036065845343211916,0.06560236059478718,0.007622515025556357,0.07438148387648409,0.031013749686623744,0.020345967987497708,-0.019570346389896742,0.04705004409506517,0.05136740750393651,0.0034632139803913234,0.0007848937629776559,0.008347385571778998,0.026437531863235938,0.03314760424199767,0.029525532359167647,0.06195164260265428,0.05589225262229226,0.014475947055505992,0.06218052595783186,0.08155776103425143,0.011994473897169754,0.027594626577564573,0.02378463172898347,-0.013439992381336668,0.02019351917560481,-0.006394629521959327,0.013787859642719544
Accumulated other comprehensive income (loss),-0.01539123753031734,-0.029689897885744287,-0.018411835689829563,0.0016233264695711064,0.017017841836569743,0.039268881202188154,-0.016291312983915313,-0.00010396094834743113,-0.00716431566541516,-0.04714888110311237,-0.010659064516680049,0.045369513484994635,0.0033466710760819435,0.007269915701993666,0.12696254922144487,0.14530367722656004,0.15315535979190048,0.1499803357286607,0.14549594741454813,0.04174153756759468,0.09514118649463837,0.023721545230547036,0.09015254664376607,0.20243613687468592,0.1918838774982698,0.06922534021808176,0.07964635072266417,0.04573835041979146,0.039707083180580284,0.011200758815264965,-0.012040758034567577,-0.030618297000234045,0.01351249255902323,-0.005637318986403464,0.18390507556759184,0.12208252773247208,0.09574632269235005,0.03883309920206063,0.10677185985806185,0.057375543952991034,0.02210724170478899,0.019247452877362452,0.01732457177667943,-0.019731202846562053,-0.013546288104676766,-0.012019439956279646,0.07295601828685282,-0.026423176107821484,-0.0214868685158048,0.05786946759183994,-0.018561244809238413,-0.017219388898248224,-0.03943196662510502,-0.02851603043752393,-0.03567527010711032,0.09195128579393529,0.04326976808737647,-0.008376753651612313,-0.003825817470075355,0.005592308278480349,-0.005140230361482404,0.08305245572220457,0.06581317450738755,-0.0017040394885164969
Additional Paid-In Capital,0.011949875893053068,0.0011431124559238264,0.021719797277607675,0.04542017543455308,0.013742138042449685,0.030940982143679366,0.0446015833705224,-0.0015876427042579356,0.028736555761953605,0.03942052505163382,0.10298217583778967,0.017930685395816923,-0.005272777833094208,0.07222692863731252,0.04421058222746821,0.029941170692042555,0.026434397497750735,0.03405010555209862,0.04388068885242022,0.048247763214326854,0.07384327473778268,0.04409583345969836,0.030538603505640066,0.10664464884915688,-0.004322109566286058,0.01612849257901771,0.024177676079736886,0.027976566298674167,0.027379613385049857,0.02592178382662816,0.11840601034618752,0.021686277560057338,0.026826481856997052,0.022101578390213407,0.09186075143258442,0.02586596414877622,0.03648877078529752,-0.004627158252988794,0.11018664600948475,0.06162537836254757,0.06144053618490182,0.023190799361692153,0.009446560161434275,6.160808350472039e-05,0.019507440168293956,0.045990379848227535,0.013269710397304813,0.046549045878168625,0.01653458140153498,0.09494943670325447,0.10380579677807095,0.10192042326793496,0.022084242765321088,0.023296311695619264,0.034109000065774164,-0.009527948571607547,0.10845508540121676,0.09093916313040114,0.016756543473005092,0.07941568143289841,0.00638486396630044,0.024185391570437434,0.09776719370403932,0.12314875181942264
Treasury Stock,-0.06330441991708681,-0.05710384425536807,-0.05725438898448146,0.000900858946864363,0.03175201703401747,-0.0037237722815433453,-0.055949610475690914,-0.050430136602731386,0.01798231091517853,0.004610548690911388,-0.04779080189218233,-0.06487238558203616,-0.06146935130342505,-0.07603480874240362,-0.05110581780391778,0.05345567468802852,0.024733139100311954,0.028397188363619184,0.07716946558176412,-0.03677559597598225,-0.0034273851603463922,-0.053734821586753065,0.00833086094997359,0.02936000907667106,-0.020603622739213866,-0.002396288284197452,-0.011730584333826219,-0.02468524608246593,-0.036077661626408186,0.012825973310157597,-0.036231358450803997,-0.05915763082413527,-0.03814033881384544,-0.019568292931822735,0.029305588775390048,0.07272317397175661,0.07893346555578112,-0.007581534198906604,0.015801237691681232,-0.03420811415878539,-0.05688102969300453,-0.035850217784791305,-0.028981609952706024,-0.03616091318422719,-0.03795423797851035,-0.007666308257916574,0.12903594311838143,0.04906283424865467,0.04715861044910155,0.022639598438393874,-0.07964447786453302,-0.07873935652511029,-0.05036208750475867,-0.08045069606687313,-0.021240271951142163,0.007902579945422816,-0.009928553604526439,-0.03903071334506106,-0.06853918861355783,0.021172709990001263,-0.03101082271253343,0.030453262247085826,0.008572131896418,-0.06811590498034228
Other Stockholders Equity,0.012406158510782141,0.008060662264913535,0.022907826026612094,0.02746426056170633,0.019099143237778907,0.04855916060117533,0.045843423284673064,0.04787327513709292,0.015984811976148365,0.01649942263897844,0.04966228959256844,0.012252954819526055,0.01237132765939189,0.006554374660080516,0.021288535610362033,0.020701931238756806,0.008776463798487925,0.01153482958712316,0.017271670379760982,0.02463947663190874,-0.0026732858644493438,0.015100563600403521,-0.015732928032184387,0.13837966753531186,0.02991723982449646,0.029711191605846766,0.009041092264053585,0.04020298384570761,0.07663252334149592,0.08533594069639559,0.029893407044564897,0.027241225783277364,0.05678665892766871,0.02682275030699924,0.007778199080232112,0.028356712995688493,-0.0018481418536485427,-0.0018794545928152297,0.09408447556231188,0.02912916262589979,0.0028268649271772986,0.02951912216113203,0.04377954882695614,0.030458397893160214,0.025503664862176718,0.03005957133102806,0.07051795286535362,0.12022097557872953,0.07782976819850573,0.13555952295514365,0.046704933310215524,0.04626326949115309,0.03397013597220097,0.03616217640299563,0.0018795251167666835,0.019479120579079516,0.08835791422381456,0.04270905521411962,0.047711562825535174,0.020705354731299475,0.02104764993082627,0.02584075054903852,0.02341908865815664,0.023306070960014556
Total Stockholders Equity,0.007388922186976008,0.0034792839421130895,0.004009491662313213,0.05729154919736153,0.024274787324676212,0.036168943562964635,0.021011951178330587,0.04272340039068467,0.026594115578057746,0.023764966161571848,0.020825880386217396,0.005826336599105007,-0.0009149544555840275,0.006258370084877389,0.0023077936072596113,0.06188561906950516,0.018616055825421057,0.025242198615297605,0.03319445945545979,0.014575411228890077,0.0032843096238874053,-0.013673590323330587,0.015332517930985019,0.017131897893347663,0.0026762781463405168,0.04093374829821249,0.029447753076629647,0.006832902712818841,0.06541513877085085,0.05083768533916228,0.03991971710513592,0.0023049890066431013,0.008319620052043291,0.00959625054140054,0.035867798726360874,0.03545948252478542,0.035648490395298445,0.003206701389238383,0.06579119794819506,0.031056800106649952,0.009270978965638041,0.028622208541375236,0.04788348071856045,0.021376122321516405,0.008896118372397128,0.0037766277767709066,0.09683948450004597,0.07479454678265769,0.08050212976431967,0.009651196538643684,0.05979020559183331,0.05993998098389786,0.029985729889560338,0.029561047283266847,0.007910969293524405,0.027343062778884798,0.0861454293316761,0.001487305963182554,0.04518553119837977,-0.011728405918490675,0.00826052508358272,0.05452909906626792,0.05439845094835531,0.006651723591838025
Minority Interest,-0.007278384733644349,-0.023035622126669434,-0.0004385329562123933,0.024188328117275205,0.025293064959901974,0.011845985711588885,0.01961321399258728,0.03480083928547749,0.028400029817230797,0.0005230727590663222,0.05116681118956845,-0.00647950197204622,-0.012623100768721446,-0.009414123020985599,0.006578771337346667,0.04210719139484838,0.04513804276764216,0.04274954409584337,0.042433878945839464,0.05570436582545789,0.03532985148218022,0.06323707501746,0.011450023400360275,0.04007354480124223,0.028271283322335035,0.041660437266568054,0.023572329927572355,0.025683099333948644,0.009630763127450651,0.007263222342922743,0.007127302934163336,0.031708325848762695,0.0676703183180221,0.0712063516009445,0.04470172155569296,0.03040465927597679,0.033541489379428316,0.010337508773229087,0.031145850413943816,0.02369541038490809,0.016364792180090956,0.009118390187461703,0.0015058080245704294,0.02560589326613908,0.01579043321569341,0.016345298073276424,0.04402191729431254,0.045390119759288076,0.02338364556684404,0.03361725548719162,0.038947962731734495,0.03185227976420507,0.007770306264288408,0.016548631263884624,0.014722192567882535,0.015550032980364148,0.038017348775971425,0.0655833812430294,0.011769823485469982,0.005989145896475865,0.03895386304248239,0.04181936077034688,0.018910773489649618,0.013074279146634645
Total Equity,-0.014670295113430258,-0.00901065581820148,-0.02012097181078599,0.029385711675024608,0.015326335410589378,0.023213366502489997,0.013517926914729018,0.0373834983504799,0.03098055865026706,0.01787521583443498,-0.009262761738779005,-0.013469552638791713,-0.013885996528123098,-0.013799808633936983,-0.02595856341468855,0.05203280658273517,0.004989695594755427,0.004780307537961356,0.008599289625946041,-0.0015643568758539595,-0.004372384866336241,-0.027474633312948145,0.00047236931007681545,-0.014866389286019285,-0.012545243457460243,0.024182756283694495,0.021520423715584762,0.0030746088342989684,0.0574971827051545,0.05398652252622819,0.009373092311251097,-0.005253231687698,-0.002829033475287854,-0.008747735650078536,0.00882318831822493,0.02214386435970122,0.014083473254930673,-0.005545634904149329,0.06503836111100955,0.006917338583828283,0.005202144222099628,0.018276828648264958,0.03648801554406381,0.028209392327340477,0.00400073945537022,0.0051956838286979215,0.02433653517053922,0.00191092100952772,0.009272050424882872,-0.025225521137421048,0.04232260919562829,0.04023815527010705,0.007702042266988155,0.0023058297808874174,-0.011899277790866834,0.008759256760572116,-0.02053325113655181,-0.01533390001693189,0.02915717857853049,0.00029321042928334446,0.0024611993386758416,0.0337347795431558,0.04132845223356671,-0.008889798908227432
Equity-to-Asset.1,-0.04035468192348269,-0.030826144466093615,0.093944472364124,0.038464500574900744,0.13705050555968742,0.056519854147405374,0.07838903977492384,0.1013437295036648,0.1764588144885634,-0.0025882639975867115,0.02193225327653417,-0.039472417795880815,-0.03674048862633486,-0.03237648386548044,-0.000641727863212144,0.06639814407984512,0.018500933803451938,0.05326486289963147,0.051576441583132904,0.14766845196406367,0.04525331109406615,0.08877869838116625,0.1433818510789709,0.10764283539602099,0.10025079826009584,0.07041739374479011,0.14289718930632264,0.12560453374672798,0.13342387123929728,0.1040892418011638,-0.005068837155196099,0.0015724881633762478,0.04044839676287941,0.025919274472730704,0.01748416129915876,0.045855563806098135,0.03098948136312431,0.14877511599353965,0.09060575491574152,0.16205019382620706,0.08925140106124754,0.09959721485727546,0.07312272473094995,0.09579153187985126,0.015065309563611823,0.01203192663905059,0.11676122038700992,0.22616199060949885,0.05680126149275217,0.06507791823429113,0.11804454964244583,0.11263705025619845,-0.008455663228002695,-0.03851397272549238,-0.013685636893186998,0.10133437733960436,0.017196346174725728,0.08082298389275179,-0.0070551853409888884,0.002583205588967714,0.11046564379960443,0.037228515226408784,0.06651219588382426,-0.03347216840043381
Net Income From Continuing Operations,0.12015978044769232,0.26405907993319816,0.1395954780019932,0.06780512714568068,0.050885694405410596,0.10633636070441219,0.1564819014413219,0.020510406609248046,0.03151781346963811,0.030422144690657356,0.13523783959949953,0.11202055544025949,0.26988859901525714,0.0972359725193887,0.04364282710125536,0.009329030298344147,0.022863061632484902,0.0315216617573062,0.03020320863886113,0.04916377354353554,0.013597725267699017,0.13035350774311236,-0.005564883591961655,0.019457490305687084,0.021207445789170665,0.037884836137931505,0.011917717663797494,0.008306049336363783,0.023529181683440557,0.009212238497111369,0.07801695616506522,0.03603842501334452,0.04364512176055833,0.04514252219376253,-0.011162527805143591,0.001957999388055479,0.0016440589908705418,0.0081944268152059,0.1074635968584142,0.11885437655214909,0.10770059075651907,0.02978395212972608,0.04682681820606478,0.014293165148646992,0.10866981418851111,0.053043101202742,0.07634820599910898,0.04159386837454465,0.029052609618483577,0.05757662572411129,0.1325072180860591,0.1288359356854571,0.04074788587471146,0.04542165811075954,0.02268200403734706,0.06685889643532776,0.025974672285757203,0.040750648337407,0.036750717674101686,0.042410515153491826,0.014064636426543473,0.02317416220742562,0.010445315768471061,0.03633517940052984
"Depreciation, Depletion and Amortization.1",-0.010885065862497087,-0.013075554853559365,-0.0029515817797947414,-0.017958752993950777,-0.011212909865446895,0.003159480329880005,0.06553665815925988,0.0727266968490375,-0.008974368822721113,0.005354359605533541,-0.003310058293694627,-0.00984366911515481,-0.013877730045035315,-0.01364642253947138,0.02051626921658207,-0.02311262080387544,0.4865253931141701,0.26118707881604036,0.2207809671637752,0.07994692838171628,-0.004028492465840589,-0.017131314072555352,0.05087527429331916,-0.002027546157730529,-0.01500397926764262,0.04306215761596162,0.042229366261339704,0.04631138459461712,0.12268604584420585,-0.0021389609142338107,-0.0022769597166501093,0.0006035271140104647,0.0033033795234012992,-0.011874424346506192,0.007212267694082059,-0.005322118653190272,-0.03063102428690061,0.035856379732091555,0.03545969579519049,0.008722341375947183,0.007184895419389015,0.0015252506598231411,0.011434283284460401,-0.0059504985346377735,0.02748484690603216,0.03831521960497673,-0.04068009335357724,0.07450863710903427,-0.011758002852494008,0.018715416481893676,-0.029806162731250134,-0.028950495206410888,0.013470341125518061,0.014315097274014674,0.005624320831282486,-0.0035529365557277065,0.01467960094578327,-0.020633623952748634,0.01687181529100875,0.0032144506326165535,-0.0024621812182469456,-0.006753471313405786,0.0057703896150957295,0.01643838594954361
  Change In Receivables,-0.019207356434966245,-0.01906480149562943,0.058757892880121024,0.09706503618413989,0.08351475080075865,0.09357190653820663,0.015114965774090548,0.019614247160221296,-0.018515897894419507,-0.0112447522867965,0.06846081922009052,-0.03538745585124014,-0.01948453268997828,-0.03519143968213536,0.06343903520280576,0.05255076783875607,0.05084957168664503,0.05418322222854958,0.053589487318306886,0.029412496684969314,0.04661975335461678,-0.0074873442393808085,0.042216394112933306,0.053536081685873746,0.04860783993376332,0.07126177791115698,0.06328194593125848,0.020577732050486183,0.08964672547258322,0.012398984286890517,0.08888151228390688,0.0947182881666134,0.1624175282153415,0.241828305411778,0.06957704526123129,0.07169042933546156,0.07169042933546156,0.08342157078794842,0.04238288275937485,-0.05777600036225378,-0.04199307643659897,-0.008668709685867198,-0.009844952194335515,-0.02695857650002473,0.03133027810962442,0.025506648029337543,0.0029978527206393516,0.009325068219918518,0.002545000847510597,0.00017893439376942804,0.0055413552772050545,0.0012714831174369624,0.02846551453648896,0.020241183661667477,-0.01240182171366602,-0.006811941507198101,0.03784135373248511,-0.0067137860402064296,0.04727513654843064,0.06553390141425969,0.08467012196432529,0.06289700878699886,0.013264246012348498,0.06400408071652613
  Change In Inventory,0.04448520497411948,0.041371525688755344,0.047864342495633684,0.0215913768833662,0.030541593516250007,0.005795981524557867,0.15749993889972821,0.14057551023028514,0.020499554653797422,0.03589369778321929,0.031141027691692066,0.04145355308138557,0.04381607308024078,0.03576803029392879,0.026779344553165028,0.0622538925591875,0.003135501067607709,0.01300679755265267,0.007348216744071459,0.03629208411381491,0.029993168209123792,0.06843360045004038,0.006948076859139537,0.04935758033517865,0.006110574508926372,0.09184845626311657,0.004223308032362618,-0.00511861126046393,0.04140443498452201,0.0401250246252701,0.101924451394873,0.549544081487728,0.1398337600099238,0.13845495822781495,0.04481426253823077,0.10627425711842496,0.1104327822306539,0.06202321057844959,0.04369620571481795,0.1323517061027765,0.12998528106778942,0.11996899434333823,0.047469490889901496,0.02231270369949246,0.048796859524158576,0.023417570740396958,0.02418352946813495,0.17898562352146766,0.08649765283304385,0.0442043512365772,0.133093204678789,0.13948735161812215,0.026521146917981634,0.03071759268579114,-0.009273142248914287,0.0315012049708989,0.051335217372601036,0.05707535239986412,0.017324218375534745,0.03836885253834733,0.04878953681312682,0.01688973786082768,0.01512154431886945,0.03530985561367799
  Change In Prepaid Assets,-0.004841278605654718,-0.002934986445871279,-0.006043991536049356,-0.015129477813975164,0.019289291225658957,0.004910495785469266,-0.007925024702990764,-0.020819054297842386,-0.002913358184776304,0.02335967687896295,-0.010049090782750939,-0.026835111485683162,-0.00944176724805551,-0.023447200995988307,0.02987991519062129,0.14277304763523627,0.14883571559565054,0.1489923933569942,0.16516164711828737,0.033711678527478306,0.10071596074413218,0.03413933149772999,0.08922416191399535,0.1661084719116035,0.04400818274809628,0.06985017858708621,0.06348114882887725,0.02545307873375761,0.0465636890262818,0.011192229685854193,0.06293197887068969,0.06258689653610511,0.08355693583997913,0.07290751112934671,0.2063548930074781,0.23005558803776563,0.2063548930074781,0.06136212513992464,0.021374382372022223,-0.009875102709383275,-0.006498666398635294,0.00801111146362693,0.018731720352585444,-0.022176333131881706,-0.007196529504617057,-0.008575739557385081,0.17497123967059397,0.1078963313553694,0.06435901875871648,-0.0076971666770772875,-0.025891495651166795,-0.020075528359234002,0.060508110112376765,0.05651937756059662,0.05886772613796571,0.08054371000971726,0.07899778554648473,-0.023997590161855917,-0.02057653487905936,0.16630249326499902,0.022624688306268823,0.07856500571524082,0.010306869839930764,0.10610342461663375
  Change In Payables And Accrued Expense,0.06489527865647396,-0.03394476008660401,0.0451376931545218,0.04210358383658721,0.07348179021151552,0.06651928514840302,0.06527932835738763,0.07737815610443777,0.047020756319029904,0.05141064383570006,0.05091210729998152,0.057312574660938594,-0.018224922535052594,0.056308920713401996,0.026036207602684935,0.14617801970400174,0.17048088091181726,0.1770676697802354,0.1478815121277382,0.025839298135325185,0.08739268385060554,0.031457064293162064,0.091361437802295,0.16070913191587372,0.030976104452360338,0.058049791782196825,0.0691146772087601,0.044107026237625774,0.07163080828721452,0.0034359997690173133,0.06457395263674504,0.020793271003965157,0.08998896400525802,0.05366288610357487,0.8993944074766761,0.21103394579374016,0.2885031724714882,0.10349863908330195,0.08011092725722828,0.07530987519928214,0.007463254303715964,0.04593025699737229,0.07565947955333382,0.00020654975821736898,-0.025160903665191737,-0.021087689909206772,0.08746432640920349,-0.021467009302954917,-0.013315658951160578,-0.025186026268215464,0.04773430880462373,-0.01058712969502849,0.036043606738207605,0.031743983602614864,0.02875765424059769,0.08408146427859978,0.09483782295683857,0.02996809481185135,0.11026203934421809,0.11517356426683423,0.08276379435346164,0.18125163843295644,0.0640805197638977,0.07473885228126984
