,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Interest Received, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Taxes Paid, Direct","Interest Paid, Direct","Other Cash Payments from Operating Activities, Direct",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,Exploration and Mine Development Costs,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,"Purchase/Sale of Other Non-Current Assets, Net",Purchase of Other Non-Current Assets,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment",Purchase of Mineral Properties/Rights/Interests,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,Issuance of/Repayments for Lease Financing,Issue and Financing Costs,Share Issuance Costs,Other Financing Cash Flow,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Repayments for Long Term Debt,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period"
Days Inventory,0.013194452351416133,-0.0059140748728584505,-0.011926765498227299,0.004738442782344909,0.01028395059064011,0.015311358507236092,0.029017878510304414,0.000439421933000163,0.01348146330064932,0.02976102766668135,0.018276740008541386,0.01883429076903842,0.02499375469211885,0.06715178059970864,0.06584000760684787,0.023993137248798296,0.021065478779551346,0.02833319159899183,-0.00026375430632543826,0.025182935014747734,-0.005865899882931488,-0.007337288961241454,9.004499629296312e-05,0.02325994788270476,0.02077913060761087,0.029495524461092753,0.03062529007204317,0.027208769511783668,0.024693883743277984,0.022658655155125083,0.028323391865116423,0.02915815812890045,0.009838640360259294,0.02936689107029493,0.019037438156054538
Cash Conversion Cycle,0.1154566237853354,0.1316229456767696,0.11818213631628142,0.020570478092174653,0.11992911304296867,0.0618905879442856,0.05284002934734023,0.03409048868175662,0.11890740126401826,0.15806166694850082,0.1560682593606354,0.10257950341498275,0.03572032828338833,0.08727994363627006,0.03470545164641993,0.12630760452275694,0.07758615518341692,0.08178389212370911,0.06658211067618959,0.056624489525683996,0.07767863809024374,0.13696836448197303,0.1514705423798661,0.009596612077899672,0.014643772536341132,0.0832810767178717,0.0833818584140109,0.09607547912800081,0.1841553791793786,0.03756593613209048,0.04670655535297246,0.05432223538127761,0.1312069335486619,0.1049333229254856,0.08718296807315572
Inventory Turnover,0.007392110930096512,0.012863766546082706,0.00019303546309358283,0.03003106040503664,0.018600812601459866,0.05017965653387761,0.05141428633184437,0.03640703620611242,0.035792525455971905,0.054603407562715006,0.03907773148613848,0.06902467850419218,0.07111401022694512,0.091696805629735,0.05039030960638858,0.03774443004739619,0.06964743826184297,0.0483961453875212,0.04668302298332885,0.07068316613333406,0.06889791847763382,0.024261833200907978,0.036458538164937423,0.013985220093984826,0.023603133927525586,0.07098345510655067,0.06486972999236468,0.0514471522356195,0.056461717595815517,0.07892703648730552,0.07491183314931711,0.09160610873835366,0.03412788807290674,0.054720197102396215,0.007835268845935724
COGS-to-Revenue,0.004736292128650965,0.007758252948204835,-0.006204876361563712,0.015523722355275538,0.009645809271000772,0.008521516025392964,0.02559453274157866,-0.007553666022933472,-0.018724532775918623,0.04152045379461703,0.030702676356304172,0.011886028925184415,0.004615684219393462,0.022254112257755816,0.024899343607244023,-0.002888913664025895,0.005237382254782158,0.011766401496091351,-0.0061209547397575595,-0.0020425031763540605,0.0013919898216670909,0.008255030279792127,0.020129537389689,0.014215194625870899,0.024689358446761164,0.0009872205962195074,0.002832047668912911,0.004521055734724258,-0.010455156364983322,0.010156838765544518,-0.0035403745854953542,0.009470734142780567,-0.01159596668779871,-0.0051402765132723405,0.014350217777727436
Inventory-to-Revenue,0.09917573083113713,0.11372172676563322,0.09866705020842957,0.09167533355423145,0.11215020353070766,0.17522560688977132,0.10685104458720379,0.05670372878580446,0.1338723690650283,0.1379331853915923,0.09619589131285164,0.14264812070967187,0.16007909310714014,0.1749372072263381,0.158429555844101,0.07807538142558026,0.1872882107939002,0.1175344828530421,0.10809528876581499,0.06566795086163163,0.08724476213134247,0.13166301709230976,0.14421001727755917,0.17665754790509294,0.08075295655950734,0.12866506999281344,0.08170710717588385,0.1278795734281717,0.10583472802701895,0.16304725002136125,0.10502808043762275,0.10256645978167069,0.07433476595577196,0.08710726463294685,0.07392306959246542
Capex-to-Revenue,0.07678543695762204,0.006532747807024376,0.07373758853815181,0.018731643441126,0.04749365892800542,0.03216157416813168,0.11996032601607033,0.015473913421003464,0.09809682552488361,0.05229562317362398,0.03556285629347133,0.07405401209695212,0.03718530458438092,0.07798916242880842,0.04466497754086811,0.04037912709845717,0.06540080808583437,0.07054180973614782,0.03385348113414103,0.060599490964914335,0.04260679171127722,0.0951524613216027,0.026629682409473485,0.06772303523016801,0.061832532157823236,0.059544005750552874,0.04855811832182275,0.06166109456438673,0.11732418346846554,0.05420239615772309,0.04670170674733289,0.05974094090705851,0.04638565502774138,0.05090935788140256,0.03939305116272168
Capex-to-Operating-Income,0.08933488987679111,0.09206392786797882,0.1706283260810599,0.04953236849729024,0.10541905390258619,0.008557789366479161,0.009220978404297642,0.007019622297852546,0.11455374799190758,0.10710799450116099,0.08129045398200142,0.03745782274289856,0.012190484963738332,0.03146701259703805,0.04250244084475364,0.10420600136897176,0.001921696250833744,0.019284910125846485,0.04132574791943629,0.042436951135090946,0.04633495823637961,0.07550941550186446,0.04884359423293013,0.019751815638770525,0.010695569917547403,0.014130458750360555,0.016925606027752338,0.009516576555340947,0.08999035810238189,0.02751369851144725,0.03324862005000586,0.037696895735143225,-0.010050820078448694,0.030367711608774692,0.011772028147318264
Capex-to-Operating-Cash-Flow,0.11208117768557924,0.11427484975109677,0.1561444850379364,0.039036713489349825,0.10516484099103138,0.01348097812732574,0.006109651212035029,0.010915664161235843,0.11264394477647781,0.13012546698533597,0.10558763106430283,0.045929649792144166,0.029641923628079436,0.03327981026397841,0.04249854745291936,0.12098597465584104,0.024206365576781592,0.02760057462702848,0.03295012460530612,0.05603241018029972,0.02369434111043429,0.09679332415431047,0.10481792960094541,0.020851031729015045,0.01845252209783429,0.031015990727100456,0.023490154303004506,0.026627481494708043,0.1372778232078465,0.026123350426836483,0.04730509474123753,0.05153102202992643,0.09512194441899971,0.09603672007521033,0.03931538069290966
Revenue,-0.027918190651008493,-0.03081000511522266,0.05538274919063413,0.028480876329177413,-0.009605544573702145,-0.030287040054064643,-0.006924050395270283,-0.00332007301785017,-0.01021194285129371,-0.03467490195897276,-0.02456830232231889,0.008673616737280789,0.003133110983989679,0.0016043512018951633,0.036246569625112884,-0.02392319417782217,-0.004303817196876272,0.0044158453336845364,-0.01939860700672782,-0.022589098717668517,-0.01807400833014929,-0.051391834865566026,-0.037555231100637534,0.011250670382224184,0.012268771389488516,-0.0007688763540337094,-0.011068692897531762,0.006859840628577897,-0.02444969647433511,-0.01866877308034837,-0.023418376256136485,-0.004051458110581609,-0.008916123479391871,-0.02360702937284944,-0.0061532861853787315
Cost of Goods Sold,0.011162502550264169,0.007261696849596695,0.008360019804415909,0.02960484246518062,0.006320196664531472,0.09263101293392463,0.0036476772522229498,0.006555542126624716,-0.009982862884252165,-0.008974832308207448,-0.0019469682601014882,0.03168990472605324,0.032799891455244645,0.03255328571558465,0.04135799233262071,-0.020247868897910835,0.026023928710627347,0.03778586772857884,0.004740680831404489,0.006750388396648522,0.01744868399029024,-0.027775851783614608,-0.01718837218972121,0.01808258699807009,0.03766367067611805,0.029617554991892656,0.04249030031469616,0.06330469784344672,0.014639242641018662,0.008659152523548413,0.005356889109962661,0.004801805170453369,0.010580508826058016,-0.020738430400666707,0.005262204600474335
Gross Profit,0.006656292607246577,0.043374649036595735,0.075417483407104,-0.0006387973274540181,-0.0014642147659900439,-0.002277732450538481,0.017580091866534114,0.009213608220379772,-0.021211875661701626,0.026793922885341957,-0.0015246074024825047,0.020028686877456438,0.06937269904604106,0.017690277959562534,0.020425157215235735,-0.04113969114718613,0.013185935907601195,0.0319493947069947,0.0276664828822947,0.005453830359215933,0.03410678037204013,-0.0035835524551741825,0.0023512805677210944,0.03199277918626986,0.08244970670438616,0.03522694468777387,0.03508860826858849,0.04044879431101341,0.02796341307527807,0.006587989767170323,0.0033922214707857957,0.01405543899824324,-0.005191956750227532,-0.008569460260552629,0.003268541919173489
Gross Margin %.1,0.031584993272032076,0.013784030168633667,0.026085228567049847,0.018201438623008038,0.016846269069474347,0.023371371983524653,0.06376506766763292,0.0327164117853898,0.03279931456678054,0.04696457839208638,0.034007839498037665,0.06690800077067734,0.06143265745326859,0.07032908726222141,0.03908113668820935,0.02241957748962785,0.048868945716957476,0.05461703208279551,0.04870368929365249,0.06340074478115013,0.06597015024640966,0.030509105519967678,0.036420429095493305,0.03339673456247129,0.020457406356634143,0.06144845527336942,0.07166782303764968,0.07202076208064292,0.06793398934914957,0.07423915094763192,0.06594410022384906,0.07619043741560295,0.027094134427546924,0.065054116920741,0.0056854493178647835
"Selling, General, & Admin. Expense",0.008391705462303415,-0.000233912664374945,0.04977677151738007,0.03644608639151576,-0.016070801184047297,-0.008573306735018882,0.003982675771508456,0.01584926046292494,0.009588118275576091,0.0015478594798714676,0.0054743210551685415,0.02021276780157089,0.05439685433906109,0.005280184276177266,0.02297667512244287,0.017966596039829703,0.007520646578989829,0.0098133817117858,0.08406747057027263,0.03241731406553546,0.04528794962205699,-0.009358260661124839,0.0016222035697847819,0.0007092604752814877,0.011639850897143672,0.007636383659378245,0.07812357240705439,0.05994947226272506,0.014544915062859187,0.02748556465067956,0.026748883986579965,0.029775400894862053,0.006121408833011873,0.006018636389711337,0.004493470964294755
Research & Development,-0.008033797333877771,-0.005887387759454158,-0.038454509132350705,-0.002561405020757146,-0.016590717984585293,0.007234787616441895,-0.004599608110323502,-0.012293576117127746,0.012748672616144421,0.0014621071334795731,-0.007406014080604545,0.03259669345493405,0.019708083239326723,0.052071708889187635,0.03103474336936239,0.002464603552317442,-0.00803376262642231,-0.009426105493616714,0.002402548254690506,0.045142528994159256,-0.003018279556848559,-0.011738578357599009,-0.0009418372466797123,-0.02786049303240088,-0.03928924333690906,-0.002368553253118577,0.0024562834273061107,-0.008712776941109801,0.01033920964295183,0.0180867796181275,0.014611879341934985,0.024612580099870968,-0.0029847088404258764,-0.008566509993244384,-0.029502925677672782
Other Operating Expense,0.04541091340422999,0.01112131138093441,0.15269714900891815,0.030850043912329823,0.07875534409166067,-0.006670179305835163,-0.017669922509864412,0.03957292270398655,0.12407588758561235,0.026140885368258485,0.007869635898593082,0.017421504583889347,0.023940073465784823,0.0010955783694891166,0.059541466597988306,0.09206821451539672,0.02515990257994039,0.026867502323559278,0.00028292564644278456,0.014098205875284545,0.024082077370541716,-0.004848607454160093,0.007756896306837658,0.007037896999075285,0.005196854602892393,0.00417486429489356,0.08685908947903176,0.05126105829990182,0.039990014904290355,0.015694157053972816,0.01613505485746947,0.021466238404721984,0.005569650651552519,0.0027312069987800057,0.03803862366261192
Total Operating Expense,0.04050569182538559,0.02336751678784454,0.14591016140628352,0.03274274581935013,0.06056293209830627,0.013694202983124428,0.03504131396299859,0.030113335100202806,0.08959427540361233,0.059020192291350075,0.028482726946313312,0.04549941361387617,0.042821814091513304,0.03980873284108059,0.03535660792839245,0.04209105549805407,0.0374021631642308,0.03546999455191091,0.05594850201866219,0.05681601474811876,0.07526068469287528,0.027781564319721872,0.029836860904121184,0.011603066570609184,0.015273659541719713,0.034725239281591186,0.1207692658581002,0.0815576233570125,0.055495935055426694,0.03466573988152852,0.04592408864181408,0.04910894508971779,0.013281288319666922,0.019426172803485763,0.02162334399378862
Operating Income,0.11169189541484335,0.09195475486242886,0.14948332021025507,0.02846619689404191,0.10801101979728833,0.007905450784954395,-0.0032069255216315086,0.0068985620330164555,0.08661835631503682,0.1071441832679672,0.10805927630032268,0.04337635127055856,0.02359836576504013,0.022329674168294802,0.029021557949135156,0.05977465494119797,0.009618092048405663,0.016160256328366117,0.027821981669552368,0.016826142174183555,0.03876429042421514,0.08695742211069876,0.08835719524358018,0.009574508827548043,0.014491689643735529,0.026275827845256852,0.052545523334436586,0.029057240325275815,0.06274928607335303,0.00940068190436964,0.008852964838986734,0.01404236652399371,-0.0035483714724991837,0.017183031952993515,0.009237026193164598
Operating Margin %.1,0.08360942753215264,0.06493697575767465,0.06038756954876461,-0.005610394925691066,0.06718383542072065,0.022949010269495747,0.051462042852110625,0.04078486240214398,0.07115753695103448,0.08514838186204482,0.06655871746918036,0.07924102969630413,0.06492826913665989,0.0874058538327472,0.03316094648672644,0.03674681839403268,0.04775385126636929,0.059262558942397923,0.07712592043575867,0.08836948586448588,0.08655683447129611,0.0540258808907513,0.06326472512136368,0.013500989649824968,0.016512008570375773,0.07151343513177846,0.09558037491886037,0.06324382690775468,0.09372632480674038,0.06013513046308596,0.08229735608244973,0.08123099430093375,0.05574427072991088,0.06795291855719998,0.024653446978431193
  Interest Income,-0.01736306805864654,-0.02034942305428377,0.03868231722643148,0.09471954325355568,-0.0018929338542991534,-0.005227918693058701,0.03551458063102729,0.08932503918431181,0.007002633023164923,0.08351066042729052,0.009152302783877835,0.0070371128976928245,-0.0020415972318542142,0.04767320458431338,0.05063708426619979,0.08625724606162087,-0.00021414764937688346,2.1996780343876143e-05,0.009042290162334595,0.017698533725421302,0.05338378176898164,0.05970033589728686,-0.0009260242616878377,0.03521421724517408,0.01103557482935652,-0.004654117685474249,-0.004323899235281817,0.0013192474753015906,0.07004878670674344,0.08029735302978497,0.08245162781325113,0.09295326832960993,-0.015508471942276982,0.021312042270205576,0.00916972055827663
  Interest Expense,0.030642881257799716,0.03727011441453757,0.06939693188057602,0.09422357710254416,0.03706378684890298,0.03930857561995563,0.028638123745540957,0.15239311827812238,0.07324210991492368,0.027329908643973975,0.04456803948518443,0.038339436577077224,0.03321704944224763,0.11077159327346525,0.07423800825780015,0.05069161587088557,0.04646716044538783,0.0355510132555007,0.04089012204467183,0.04249383683381343,0.07231992918893283,0.04207304234927437,0.02118564662916137,0.06781761856188795,0.050221682585553186,0.045394646849711534,0.09260019204433032,0.10135510374386694,0.051021961739166635,0.10331547957106561,0.10875930105692283,0.12008192014328184,0.03700100599941117,0.03209353006216114,0.04493725111867651
Net Interest Income,0.017999461616379477,0.10221239532824945,0.06327459107718778,0.10722704465849844,0.013987112995828225,0.030733209742755934,0.019042026991501457,0.16898096567328286,0.03423754703812684,0.10547432003935117,0.05242719359581623,0.03502678993272454,0.13100009445557773,0.03947941129758851,0.10769922731468377,0.15986842429196998,0.043012417822986655,0.030160762513698633,0.04623215819149658,0.03750661977950241,0.06504304229251884,0.09426120183958332,0.02924579508637312,0.11353442977011034,0.028045371698381873,0.017994593260675092,0.030024690963689826,0.033429384861502286,0.09895112134890802,0.09382875870516544,0.09811407835707538,0.03517701194632927,0.0322796514719725,0.04546432543400604,0.04888497432733105
Other Income (Expense),0.02428482657569201,-0.0021676207528034965,0.05558439561018649,0.03359241161892056,0.030573287893869545,0.009976663260634485,-0.0030045367034691487,0.03742874749829134,0.1267061982280848,0.027912523995857485,0.01340565806571364,0.011820697516690008,0.04887909836933895,0.03563367529238888,0.055027034285645496,0.14878824095699938,0.034607591875396485,0.036231801759295135,0.02944853531721676,0.03449655773709591,0.03231804297740236,-0.00487704635808653,0.01932022879801318,0.019533404027538177,0.02691536759316417,0.012856578673220358,0.03766828315097033,0.007760664212353033,0.12169458136626558,0.027117588432421354,0.030588035735609163,0.036723716802665896,0.015657034637152775,0.012580892578881201,0.01411658282823163
Pre-Tax Income,0.0027732556053305835,-0.0056424174614223355,0.0096675433990967,0.027446957512016458,0.006195915186757533,0.0007948003283546477,0.07721562600507724,-0.0054835425254911654,-0.010119414301164404,0.014711528257086619,0.020140880229647967,0.036432379588324876,0.014352123189369462,0.03599636781741323,0.03543126291035443,-0.019154834023295077,0.01952444237092022,0.027505339348677757,0.012592117826651442,0.011578724349501536,0.023204033390151042,0.008622585697659373,0.01269566965921324,0.009726276921214404,0.01870289777525695,0.033628461850684556,0.03979381787618425,0.03776895692505653,0.03646722428035497,0.005694447525327197,0.002954516507610903,0.011800287420081015,-0.017276288184436623,0.016199088104144013,-0.006152974170705999
Tax Provision,0.021327230394264676,0.01901661259622195,0.043183111567979,0.029497723026851885,0.014331364484379378,0.02433584214126152,0.08796798048137607,0.028470273647381247,0.018419201535495852,0.029759908071596692,0.034600361412964326,0.051556917792077085,0.022969765494558484,0.014495848293837724,0.0357661966162178,0.015883218982114127,0.02797470585935375,0.0328841362877868,0.03851214743834532,0.03246306416722692,0.036638740840786874,0.013425189278177057,0.013136890448283712,0.032162706775098436,0.039960831732390116,0.03347026893127962,0.04684964359262298,0.053758001500514595,0.032324771421391625,0.016500416088531148,0.01677523820133162,0.028622134765392392,0.02472094931882369,0.013457911675891372,0.024579617173892433
Tax Rate %,0.002760817582965895,-0.0031729039243961928,0.0400755253113267,0.0397513700230452,-0.005893494190796225,-0.0046014045365884385,0.09651487976647014,-0.0017143916179303753,0.0016468058645713818,0.00712544693088422,-0.0058476366581951544,0.02313849450817953,0.013728075981476849,0.030597601787444948,0.040554599447002126,0.002817652493415947,0.006852209320209525,0.0011119740568867093,0.012801722814220203,0.005311381053132853,0.013902571660510121,-0.0019401760051030973,0.002010084300237169,0.0260890454913643,0.027229094534057717,0.007366501637787827,0.0179712449507024,0.02081512943909084,0.007410351682613361,0.029784971494946032,0.025325130247941176,0.048971234842998854,-0.0035335062886512015,0.029775263541214774,0.012053375904106567
Net Income (Continuing Operations),0.11279710022707837,0.27444342055504756,0.15486173203374565,0.03558468481514394,0.11084163185981186,0.007124964302187294,0.0018526042141136477,0.013154291206234278,0.12320943373701898,0.11116965724643416,0.11919874272232377,0.05795503609501377,0.08997061269232091,0.023430427265742324,0.026673257021320916,0.09528229894186317,0.08155750171970946,0.01674126830225952,0.02620479429584591,0.040080214207719116,0.05146523935549244,0.09809256869387804,0.11775793679319922,0.08358856662382401,0.002093102408753434,0.015412027420491765,0.032184175836986614,0.015368889754292462,0.10035197832294268,0.054201921951349666,0.0352605623026466,0.0336939870499556,-0.004304973883556265,0.002706873235820651,0.029766368311806308
Net Income (Discontinued Operations),0.07575567837533048,0.039517320891397374,0.1076018403037729,0.03104881191343002,0.07755856609757067,-0.015416070418634052,0.017384452269933955,0.03138284057487161,0.11352036026877638,0.059072244778115866,0.039990889051797006,0.030553715819832357,0.07696252803396808,0.019260754791736955,-0.00034889541713796924,0.0005649511511873874,0.04511681247674838,-0.021200239176100078,0.05704936128714934,0.047391278192556084,0.007533006577279656,-0.006385991689500208,0.01866969167227055,0.06482609581392453,0.019933535870519537,-0.00724933162075596,-0.0063426125945314545,-0.005285728092156701,-0.02127676225113244,0.0916438588332412,0.03673097924625993,0.03651105754193243,0.005996160589600015,0.022116680767992638,-0.001048854122018294
  Other Income (Minority Interest),0.035497396285853494,0.03233685734644014,0.05658660859442938,0.0987336162508363,0.027792500574372533,0.036461520320822505,0.027858288522268498,0.14188688214530756,0.0815602630212182,0.07420311125349757,0.03318607430849162,0.05528658364377918,0.06054666313163211,0.06158647874958564,0.08657952005428947,0.17778025897228852,0.06221221702955603,0.07148201845986128,0.06120634796287231,0.049544282839128435,0.09570177620053374,0.02721773285931048,0.04064450664143108,0.03638518259619188,0.04130786093982977,0.04484986769332723,0.041552708611213136,0.04131447211281658,0.13798122580602143,0.04615601331475574,0.048367531070418704,0.05467423275880428,0.036062922100690696,0.05352520404777554,0.06076752706761183
Net Income,-0.0013201835058497652,0.07279153865025928,0.007488939619167516,0.046774693895574426,0.004009241933303169,-0.010508536115794795,-0.005180978752199256,0.015031703838217583,-0.007357637801461011,0.02635781005557395,0.00229804951216517,0.015843504521920328,0.08353745941907095,0.030665210419179644,0.036560568391518236,-0.00487552497919867,0.005743790861953781,0.018642357935515847,0.01894584219644197,0.005035177014203767,0.013484601341143918,-0.009437366028653135,0.010194333892483635,0.026492200125946948,0.013695292071792525,0.02130398229669648,0.019779687496959596,0.020362251294467823,0.009454382192199075,0.08010956712753653,0.0032113995652173085,0.023086660986344685,-0.02125623513260716,0.025229802990893724,0.0008627571072279123
Net Margin %.1,0.027576582808809164,0.033517903669814095,0.004451616630056492,0.0031756798188360916,0.004999088898464869,0.012011017221119493,0.059301139575744254,0.038067450431670105,0.03208060792644393,0.04688647136661876,0.02822045304261127,0.06749212717640528,0.05329153761259203,0.07477050311285502,0.0320091898836022,0.01634400703008703,0.056900389357332666,0.06174470679928163,0.06529008731538899,0.06263437621285728,0.06210691827785297,0.037087673547609536,0.034274767777505905,0.032372408362107793,0.027092191020575106,0.05166678685077918,0.06523651041304748,0.06489585553126541,0.06691691048540581,0.07147158485167855,0.06833048808498406,0.06049654444598432,0.029745354832535598,0.08133782758213357,0.01509630248650316
Preferred Dividends,-0.027822792312956424,-0.017381284559552963,0.029169068805417274,0.027254136771125884,-0.013051413785496289,0.0011848865527835208,0.030832167774348825,0.03581731709969247,0.026219654530679384,0.004079036913042435,-0.03887786271481493,-0.002252363075881739,0.0141888053924734,0.008515361300012758,0.005784854108142396,0.06333103700844993,-0.002139345784613763,-0.008461559351054589,-0.02068692642967467,0.03214031536741819,0.005212001996790929,-0.011326785198141443,-0.013637015873077855,0.017210365010748064,0.05554243256199505,0.003899063085747496,-0.00610868907528553,-0.014489155787709571,-0.010812601438280384,0.04132926003610737,0.023362240168042545,0.04100050279601823,-0.004904277142160344,0.016648624393677935,-0.019915268467502224
EPS (Basic),-0.011634818030006936,-0.012482909795638762,0.0066166297121185375,0.01117990585011256,-0.014609722506463526,0.03596608686575124,0.10925248419910512,0.03302327391113145,0.048668750307292265,0.031236050250244108,-3.860518053368906e-05,0.02952039544735471,0.012057684095756279,0.06396214479457896,0.015432607968131822,0.03728952015526548,0.018830146092744273,0.02163481617559871,0.046193802323059155,0.05027950852898295,0.02641252650115496,0.022149726562836237,0.025585864122796412,0.08561252398908462,0.08761714040104959,0.02885545216576975,0.05301144803697882,0.05157266613356853,0.03375526165115531,0.04834159852993743,0.02721192019461874,0.03586037846561282,0.07554359082903254,0.11907841731226661,0.05685833093729313
EPS (Diluted),-0.006816197891547109,-0.01267790579020482,0.0066166297121185375,0.08262027275962645,-0.014609722506463526,0.007733684445239706,0.11129373658554426,0.047847139364360844,0.048668750307292265,0.031772746360052055,-0.0008396772235668658,0.023133542837255175,0.009805550579245939,0.08689451435454931,0.04160590932200592,0.02281600756062265,0.018029074049711095,0.024252259335469508,0.02531297258437548,0.021097500888156366,0.019985993461472267,0.017889802851268587,0.024784792079763238,0.0849329375822197,0.09958362934338749,0.024687135165236872,0.02976434791474591,0.08736145775531895,0.017832085781275014,0.05548490703055054,0.03960843588927106,0.0647013575356083,0.07282703131508483,0.10657201129189962,0.05407408200933694
Shares Outstanding (Diluted Average),0.028748631880629007,0.014285131666135398,0.043724158433084546,0.024398769495842246,0.0383226296934725,0.0006280395562177402,-0.006936714667726598,0.0046136220252724625,0.02298439899853945,0.017174949412810097,0.008418930629894057,0.017431480087414852,0.02656771139746437,0.012578043474294209,0.0900566113921383,0.0003679899394007989,0.010669364583933132,0.006997850833310588,0.019784864287673613,0.0020219288367483686,0.02643288167436351,0.0023034308430946787,0.0019037091257659874,0.07828793235562516,0.06715774233699202,0.021237765453839704,0.04368676298013632,0.10220377424124703,0.028924302544607525,0.0018472666678354408,1.228106585923934e-06,-0.002302130300156712,0.012648255047105495,-0.015571219496316225,0.022710320495054056
EBIT,-0.023483314337744747,-0.023483314337744747,-0.05246634780472422,-0.008375588688315946,-0.03535960400285647,-0.020527488753992122,-0.03386328330201669,-0.033171997604860566,-0.03475861239336847,-0.03382378911146726,-0.024493718997608653,-0.0020685110638755987,-0.01346734567159483,-0.013073980137807164,-0.012017001247292608,-0.05457829136616679,-0.0024385174992625916,-0.004388737259113974,0.004636499846579892,-0.01001983325935889,-0.011747285128916844,-0.039299962739250446,-0.03633326623855878,0.010131117621161853,-0.00042448725694139663,-0.0020014540428953623,-0.0036166482800653807,0.01087799556402519,-0.0026883304158611147,-0.00924496209115768,-0.015045653081391294,-0.026076480162369194,-0.013297404249157057,-0.035269151012584744,-0.005977470606163783
"Depreciation, Depletion and Amortization",0.005060594440204437,0.0040537998764817,0.04340268061111166,0.03309208857463007,0.005681071292262384,0.022453866440640798,-0.015474970263142464,0.009888877444220016,-0.006632498261304503,-0.00738180080124805,-0.0011138074761958814,0.04574438989489285,-0.015313211404611535,-0.03881018405639188,0.029635403205863435,-0.0028333003141697193,-0.008223768278975625,-0.0030483287119411717,0.008896926593957095,0.022803180563810855,0.00015246186727872974,-0.024852355798754323,-0.014063839064640836,0.040037730469513255,0.0432478766666776,0.00510820653319948,0.018140089554299976,-0.009021934866962922,-0.0036330182749669962,-0.008385685334843282,-0.003258907043808744,-0.007030688100406917,0.02195162533826238,-0.0247359627022098,0.030653080859430432
EBITDA,-0.023718863185070896,-0.023113818279403293,-0.04960633931638544,-0.0033241482736459734,-0.03554157218817721,-0.015367817043263725,-0.03384043331869108,-0.03179768765776962,-0.03421762250955595,-0.03234151282339732,-0.023158997213544696,-0.0013169437909186222,-0.008196217051239662,-0.008210222548701527,-0.01079844032857308,-0.051686816638948384,0.0012209229262788307,-0.001540525621447327,0.004463669768587751,-0.009107225543543979,-0.014904209943393528,-0.03584785839685373,-0.03304715893423781,0.009538224682654788,-0.004555412494030177,0.01721588476610053,0.016809922748553575,3.8873906262009046e-05,0.017188000800113692,-0.00965600339843973,-0.007872507344875376,-0.007134863885538538,-0.011310060358775924,-0.03230389103557757,-0.006186615856664252
EBITDA Margin %.1,0.03522871860126889,0.027677048750814618,0.015551412389863543,0.02924793535189518,0.013260938044204574,0.02619609387805511,0.06773303357866499,0.03289737324295007,0.03503730704886793,0.05393015101948775,0.03125116619818077,0.06626294099656811,0.05872002981164394,0.07533723779011037,0.026090074695732973,0.016123511808446397,0.04273947670956184,0.04678154498593655,0.051196510301337365,0.05907280583916913,0.06389212355377483,0.03842489920363379,0.04087683943608629,0.018255453286951325,0.017439971675461345,0.050827652413262106,0.06892861456717961,0.06075762695144987,0.06766602992447335,0.05953024599278606,0.05395057104878408,0.07475497193651263,0.03236991546654889,0.06677156614845406,0.016603467650306278
  Cash And Cash Equivalents,0.0900449395495671,0.022843631257959383,0.07345266468412642,-0.0070038600249789345,0.10358862023078746,0.027421216915360366,-0.008774633401509104,-0.01864144496893582,0.08883886934447956,0.03169338514144599,0.026515689372526074,0.0424016018033469,0.008613105830228883,0.02849204780096369,0.031164833420907256,0.08607841985451913,0.02323524826214792,0.028598707903837776,0.013203644077629122,0.021284767731767778,-0.013195959078525723,0.015555717187062456,0.012538366658182129,0.04586667524793161,0.03400596806184319,0.03455576380948866,0.06908027552875964,0.028215957457083107,0.13477403065877594,-0.012010596900401481,-0.010299153626270381,-0.0035671058297228916,0.6359610424651589,0.23997875476862893,0.6317905339818801
  Marketable Securities,0.005497737844884698,0.0019762053359008982,0.034425189974545196,0.019467205622005525,-0.02560786758211174,0.0003558619863313411,0.0150773966981416,0.01853509236234331,0.022842392236313496,0.010976972541189985,0.0016647917650175897,0.01791767681988754,0.05911288147675531,0.07989035116715779,0.03488422494415691,0.05709036214492915,0.0641091451909819,0.0660056212274981,0.02133792958587409,0.011159712436995175,0.024255067794478974,0.0071902831732308,0.0075774875800147905,0.028476882617515093,0.04057150855908183,0.01873152507869467,0.011327864051140508,0.004794801715775225,-0.0028219309969138425,0.012954343008642281,0.01628866149861229,0.00557192286625327,0.004768528171923165,0.009435896772509448,-0.01877389147904618
