,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Receipts from Customers, Direct","Receipts from Tax Refunds, Direct","Other Cash Receipts from Operating Activities, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Payments to Employees, Direct","Taxes Paid, Direct","Other Cash Payments from Operating Activities, Direct","Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Stock-Based Compensation, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Gain/Loss for Other Investment, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Investment Properties, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Deferred Assets/Liabilities,Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,Cash Dividends and Interest Paid,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
  Interest Expense,0.0029397373697468004,0.01037647886274162,0.0212202501861961,0.038887273150345375,0.016416646542511737,0.017268861678275953,0.15769388528614067,0.027126059044049102,0.05462353807108882,0.06515027713684902,0.07888416547888938,0.0009945428048817873,0.004708874119346036,0.026748466453096562,0.03978898087634195,0.037472431692876305,0.03216440612181296,0.041969865765514175,0.019512816883674147,0.15502749555500428,0.04735014353272991,0.19866586036285233,0.05459965835405586,0.04304254184095402,0.10282757512780735,0.03365589569917793,0.13550752060902163,0.05577366565438503,0.02602101606217034,0.040629480363547736,0.044085205432890566,0.04935968317011261,0.04540055365077636,0.050622838184135,0.04248711757325693,0.04421478274308106,0.11367721752199941,0.023456604803927396,0.03756944555849407,0.05791201491410071,0.03719437753419467,0.050538817925041904,0.05279164064061609,0.044254877365781785,0.04732779758725744,0.040473079114255815,0.05863527952160012,0.11740896265369087,0.056663188912998506,0.014564553046756726,0.04268129733490097,0.014106500509189934,0.1687508336946223,0.08598601546747478,0.0317363501755984,0.08676057304259616,0.017784180694959472,0.031011804295459626,0.02014005024014901,0.06656447129158216
Net Interest Income,0.013399083161332521,0.0989287347745841,0.033307944604498346,0.0634335754855406,0.012655736284117543,0.004320809214714619,0.18168230589123405,0.12387917522813884,0.08436505347344289,0.07800751348914281,0.05785308321606325,0.08959425681740232,0.09598214586078208,0.024006134573349918,0.10093775940697922,0.026273600918005627,0.006288007571040807,0.04315621007898169,0.008178962809227296,0.1507992762081741,0.023142725451707404,0.26662890321374977,0.19324363689421428,0.08740215591656748,0.083641025448029,0.12392449757586156,0.13128929956478855,0.09396198220028869,0.08960651912662045,0.04148642933962242,0.03444340567462948,0.055194864823278025,0.058273083744200094,0.08619653638037375,0.05652749882988321,0.05775934349347433,0.08528115724249544,0.015151755197356282,0.006541184143145891,0.037311774562648406,0.05657324895306587,0.1528899426447026,0.09936451452880289,0.06099189351427983,0.06957921435919198,0.028551581866459595,0.14591038679952492,0.06819328592226072,0.08051667613083083,0.10027545144100419,0.10927406158608341,0.04009980353015109,0.1752672946593934,0.12481339363114557,0.04550035763916398,0.07801021993815606,0.019204294181544027,0.05654814847470985,0.02155075844641536,0.04850509506600518
Other Income (Expense),0.02340183424590258,-0.003657092975377432,0.009805232165571998,-0.004169924173970209,0.0029616939949512716,0.08985196298767215,0.17414255165520837,0.13350870085603192,0.014714778114582978,2.6353417591530592e-06,0.10608290041505034,0.07402706688216747,0.017997805323902456,0.10751670694078228,0.10783162221633297,0.08924262902505146,0.017791911636124254,0.019704489805822158,0.006731314863985654,0.12118059278570545,0.03578882667794989,0.13052112005382938,0.11916866901032021,0.012387895260058826,0.1399790455481301,0.022144082786067897,0.14392344150855563,0.09902661022538384,0.020905483579032578,0.024435261048778842,0.04021087074795433,0.0823612762108069,0.014276582502114669,0.016711963903692676,0.031305520292861794,0.00350047536567623,0.12454919404326835,0.11561371967075998,0.05417820381071596,0.03704098360518988,0.1536124537131765,0.029973185909880535,0.010399957654188625,0.008495469134284719,0.009408733644061444,0.028338323225884664,0.05929914539713666,0.01797703467682127,0.0184030745827512,0.1133565691170783,-0.005941679285377788,-0.005107274616582671,0.01223042397920672,0.1402903735274618,-0.0003607486970859256,0.04254515001246864,0.001225558446048501,0.0013717896844367408,0.06773999939202778,0.03293444276128239
Pre-Tax Income,0.0006655358776842544,-0.0074946716192573724,0.024425306209434904,0.040823992310769136,0.08957020902082662,-0.022418761341149045,0.09938276542520928,0.018389474614917876,0.009106219980322693,0.0761821775640198,0.03610649855812133,0.0008048976222488095,-0.004460846947706851,0.014098889121657663,0.07414327012319273,0.013837933535875577,0.001472182795051757,0.001030451166423245,-0.022573838093905098,0.017912212461847356,-0.0019617004368859313,0.10201651227923102,0.10760796794036537,-0.012669102216838183,0.005433419815443777,-0.013193476427535766,0.1317871633500982,0.006655129566892096,0.00011506742892232512,0.0019904047934638466,-0.010158880939520915,-0.014761808296701932,0.04141941460946671,0.04987493393140844,0.04817392244995177,0.049114541314310645,0.10387249673970095,0.03595752774565536,0.033120084726503886,0.03753199838807223,-0.002571814103951743,0.023438945973593986,0.02779280758642385,0.03397979550354818,0.012701422406180853,-0.004091686244338427,0.008540668525299288,0.04635634634046412,0.04420796836394591,-0.015450272696123956,0.0469981130070045,0.04305465113177205,0.0944492487793343,0.04871230493925669,0.024140832523335237,0.028648123774452597,-0.013805442782748964,0.024760498258096387,-0.013879377814209972,0.026843588771324572
Tax Provision,0.009930827191403868,0.007808912114168455,0.05478696501527822,0.07110858024235625,0.1015362095981202,-0.0045708874704585905,0.12609022064326997,0.05644418618460059,0.05036032665266765,0.12874855950359598,0.06998471069780648,0.01806661398455439,0.014246768562754399,0.03976064750212134,0.01197997812166323,0.06520698610745092,0.02563224313019635,0.025815910085980977,0.0061779197956809175,0.07456995118913141,0.02036498928471219,0.022857005274437285,0.0473706137011019,0.006431165848008628,0.026228256302527165,0.025060125222118344,0.016762822142722462,0.01238730678235872,0.006438721027841286,0.019987986312586106,0.010272446803747365,0.05361039528740036,0.06232285054117873,0.051314875300975296,0.049576822221949,0.04972973926706011,0.05831501720266311,0.050710022604380824,0.05027488292903636,0.020184975600522966,0.013760012286849489,0.06660920352558006,0.06930840201358585,0.07284574086885855,0.07225222861496064,0.0163679369961937,0.06367992112999353,0.052837769122335926,0.0431520524191457,-0.0026754930283547653,0.06823402639538036,0.0582212064073633,0.06452455656448473,0.06131660636943223,0.06384054629944866,0.053281663539842594,0.021203627808254445,0.058672579239130634,0.0047194311411849375,0.054569966276127
Tax Rate %,-0.011599247110291078,-0.01664146882654536,0.08985626886634172,0.09492613110794065,0.04016202655947721,0.013896717522941573,0.055841564321099824,0.061962311656741556,-0.007512963226662627,0.08294348503862993,-0.003947705966609861,-0.011645522487627315,-0.018390456479264822,0.007572569755048876,-0.017337864160878635,0.01872753525118117,-0.002309870357850165,-0.004531020356323727,0.007675215599471338,0.014743489836924627,0.017081936525321452,0.04164924238721335,0.000310797048737516,0.01607500351657389,-0.015068633790357049,-0.009087762346227825,0.006511645556326329,0.004859065578280886,0.008443681289140517,0.02078032734672565,0.021125152094687242,-0.005950686712224959,0.09541411692021018,0.08686732708141376,-0.0004883411589695803,0.001150350644075206,-0.005375222754016761,0.00745229033945039,0.006507431615857194,0.002624701089572466,0.03277117218659639,-0.0092559461502543,-0.014085016680242882,-0.003955921077094046,0.04153801152019382,0.0021832259596571363,-0.008276489199041559,0.08509571273735297,0.09162601987470266,0.002071565726288728,-0.009681697954535691,-0.015680269307015555,-0.016863670495898618,-0.008368582618645835,0.058380731173316366,0.010386867949739292,0.022083762833619375,-0.017352521589415342,-0.002178028205038025,-0.0035133902026508986
Net Income (Continuing Operations),0.09213063883481483,0.2391176984949984,0.1553230207057661,0.02945242674261684,-0.004689723507870088,0.09801865786238036,0.25476701077867636,0.018701977537710014,0.02571015716744557,0.022709639352252793,0.13949772814810651,0.08299978226912172,0.24225722198216412,0.09971748389711685,0.095379794653634,0.007061060611027423,0.020718002570365865,0.027289489404403205,0.029177298299854916,0.06039009810403436,0.038128806578894454,0.10225292107144593,0.11512207353550033,0.007401830620417656,0.012117094989541093,0.008131647464126097,0.13632574718222487,0.04488375009851806,0.008975957895501863,0.0066752472482718124,0.01058081165108137,0.02721981604181576,0.09213187140457416,0.03614685325210515,0.033265433162131944,0.039864493978467745,0.04254247849502531,0.03703554734818749,0.030666841904817464,0.030483058959697603,0.06694858343895473,0.12387473877146278,0.13820485797551105,0.03146738270462066,0.05141356745295971,0.009445296951927798,0.11210431664889836,0.03298366360846585,0.035566858562803755,0.08977274802982703,0.12411159645447278,0.1362791478803571,0.029021793903840826,0.11576021509885433,0.03812714221887556,0.033349684122559425,0.005690586952693436,0.05662575822762012,0.030751995454106493,0.03166817389640834
Net Income (Discontinued Operations),0.20184333880805405,0.20576544676852024,0.11894729464058143,0.018803956919127916,-0.016976817616763167,0.08555347351713494,0.09663466654674581,-0.021950519727647194,-0.011861120588950311,-0.019907648457601353,0.09835479214267713,0.1971781618906639,0.1717618261921215,0.20207866688536488,0.20207470107376743,0.08278794618667423,0.011646775110387236,0.018623411661705263,0.0373222039293661,0.0314066185824785,0.0505563879543623,0.1838454471158198,0.20508217182357913,0.047213388268765095,0.08082232474924697,0.10538281241246215,0.0429336002406325,0.0777608023916762,0.08012484906408777,-0.008295192014868561,0.010454170667799724,0.056402059667161025,0.05585833984327039,0.004114130885972106,0.02011193629502325,-0.0003609494141010917,0.06560237366572456,-0.02073291994826064,-0.02569985031881135,-0.023603389804596888,0.24577180958980477,0.07084809836698512,0.062425034652725885,0.07363392073290141,0.03778892549637409,0.028926058198741715,0.03210420400701257,0.01698605657847737,-0.01788217128423962,0.0074863862839231925,-0.00011135619117895543,0.03326895918463724,-0.0011386171893987638,0.06460239673095772,0.009540141257435592,-0.017568916454593363,-0.013011498921019174,0.004046116448303468,0.02448863322322531,0.01733833901187359
  Other Income (Minority Interest),0.06331037597793482,0.06019926637112011,0.036994950183425815,0.04811389296978658,0.028752451468629307,0.03910011128435665,0.20608725800000657,0.19469372246220223,0.059624916110239304,0.050427550550093424,0.07663928252650457,0.0706092063003049,0.05802619563144186,0.07046274720009944,0.15659778632958102,0.058225843168019695,0.024661720574075043,0.0457094761405582,0.013674269519474366,0.14949277335173683,0.02825433343822264,0.12754419529967848,0.16546357084356172,0.11254643062716668,0.1589691811270754,0.05793521130580426,0.1721514098211935,0.07288134870079248,0.06232767507969423,0.040289125205389735,0.06681724014833504,0.07803571949451654,0.0618672793839659,0.0662483062664056,0.08549014088227158,0.062021574514434255,0.1328175018953141,0.09733563185731244,0.07179819128262435,0.0812420688291552,0.1344757287468322,0.10122251481965502,0.0685052829195542,0.07302336717791373,0.05630814833053747,0.03417732426174139,0.05204317281418008,0.04683763078832131,0.05656709308123033,0.12711642438678458,0.0455605260627006,0.05200163808464744,0.17669489657485246,0.1441666658399363,0.04760805654616266,0.05576551431742378,0.032113691246022605,0.05633111651204579,0.08625176432184635,0.08203042512749034
Net Income,-0.011374766092773823,0.06407910674793926,0.024073636760991703,0.03990718788969684,0.005550496540714,-0.021704871268830736,0.08320369422747906,2.3217304964225603e-05,0.032584159043510086,0.014485548098030428,0.02325428303698406,0.00971694760195418,0.059557317272016075,0.0804278822650967,0.09428632581263612,0.010350449440130837,-0.0098625565113108,-0.010355854222605959,-0.008929936964693252,0.021809086339987946,0.004321816494147031,0.10152462066750675,0.0792437855824456,-0.013123837983748969,0.004280823794661053,-0.020649463530024614,0.1113232346917653,0.0199894405534909,-0.0005406363457180013,-0.0012099008982889513,0.0016360274008479958,0.02941379087162403,0.04199210877752266,0.04950444181036326,0.042464101565471674,0.04336662794468886,0.10551279178442963,0.035282246038025745,0.03466722902833009,0.04692054699556536,0.005863744498714271,0.055896588344520916,0.03599119210033193,0.03888151568753667,0.036423585610367584,-0.016078142561926634,0.125545143385982,0.0436710933082274,0.04538461471763554,-0.011758358188487826,0.02546340864436286,0.040376592676240525,0.03767943586819917,0.0325829508626042,0.023811787263465847,0.049653881924312845,0.0040272004777076945,0.035052856266474856,-0.012300365293786912,0.04187472436313569
Net Margin %.1,-0.013887629528687415,-0.007421054983400024,0.10785096663929129,0.09499722184702199,0.0035061845557837466,0.03096970744606348,0.021072358504763272,-0.0021545721071997872,-0.032770792469212176,-0.02852823383888733,-0.008175286813094661,-0.0235649338265025,-0.01216833354872696,0.011672130099953767,-0.0031515892781024063,0.008736918544684903,0.036068957922825204,0.03442101909015746,0.030774357912423327,0.0038230681798462917,0.055525263427369555,-0.006796377928632292,0.012909058298190421,0.052512081066909265,-0.01098997451785059,-0.013997904494060274,0.03286578132926284,0.05228972144559159,0.05018264626139638,0.012270425676977788,0.04673880982006215,-0.025957379424244156,0.1136909411015886,0.1284760060606805,0.013850283696898764,0.006541427147048472,0.008595786670172866,0.01619695855854881,0.01370058697933651,0.01913083943162599,0.0315535163169598,-0.023189040346321122,-0.03178451663822898,0.009868020519164989,0.06708185610023143,0.05194410328833746,-0.019141839647911475,0.11939195798922071,0.11213370654302718,0.047820242336689064,-0.002597590820304049,-0.01377897067825649,-0.021757266382666448,0.01145814681160728,0.09147214810286107,0.006061232969296959,0.03612394489806968,-0.0008083798148831589,-0.009843133835085498,-0.014676857431256417
Preferred Dividends,0.05650887195840327,0.047048304212259695,0.03358836773069111,0.04078836624063436,-0.011909882857200151,0.02074171149402029,-0.012068564483746675,0.0034342512544316556,-0.013872007231142479,0.010667086675499149,-0.010284226245455108,0.08254607832558016,0.05718679913239474,0.08579840989700487,0.11696452153970571,0.06001161562649471,-0.004201214115222139,-0.011878335693801756,0.010093524794403362,-0.015009947484782321,0.06373693948186177,0.10784018415836186,0.08035622962353799,0.005774595753013008,0.10753757505814762,0.016701006341096194,-0.01734087686797596,-0.0004747218714890064,-0.002816576150981776,-0.02560523425604105,-0.00044891119042540653,0.04783431614345383,-0.02242303743103173,0.012557088436937754,-0.007250184960254172,-0.03783814835796306,-0.025919198788722335,-0.018224807413743844,-0.015838844040683822,0.01924072125072179,0.12068513006316478,-0.005705898477970105,-0.05110863198953896,-0.03698922738283186,0.011734170008711142,0.02179744023981942,-0.04777100149819264,0.03620127792266587,-0.010296006677845373,0.06958746343694334,0.0002587164887681674,-0.04147528582537744,0.23410043939843306,0.07299114476355596,-0.010941204810213866,-0.03099113041205933,-0.0052792460708489105,-0.04861464895201591,0.00048379916881822983,-0.014754420489985997
EPS (Basic),-0.02240841696630209,-0.02389490689567779,0.05669807521599483,0.17884639790558668,0.02680172371126287,0.026104742096239274,-0.014199497413424893,0.07263722287130835,-0.01516119700601297,-0.019333656814386736,-0.02942342992089499,-0.022913958002334808,-0.023997913735186806,-0.004650064602533999,-0.0012471044049527768,0.0370667216994749,0.046802624020683616,0.03159349173564555,0.044569160750437896,0.05708720218399401,0.053233303716301736,-0.0019713347177626305,-0.0013027717777609193,0.022789275378695278,-0.008127531939951194,0.017847374932553374,0.016695729844542102,0.08431953183692092,0.046430442465312215,0.053037051261156556,0.038430462976595865,0.09933361987615344,0.14735992377235702,0.10592979490853119,-0.0016118792653975025,-0.012319655454145298,0.024571081932290486,0.00828548459124805,-0.0003975647365427593,0.0010045412704211658,0.037039603554076386,-0.05004242278329957,-0.052415256283046975,0.10705578455585286,0.08313656913607693,0.06478760690752652,-0.053533969863057314,0.09570997718537899,0.07621458861340757,0.03335241489704638,-0.014504881295702097,-0.017052162661219946,-0.05182644228545712,-0.023031400103059717,0.10430218647988784,-0.023388648750345034,0.022626309892321273,0.011009271109518829,0.05641305335768023,-0.053920656405218176
EPS (Diluted),-0.01711015755772806,-0.02410429495247186,0.05669807521599483,0.170278742918196,0.02923300788800869,0.023662651225434112,-0.014199497413424893,0.049467583372118616,-0.01702564053455141,-0.01683298016159497,-0.02942342992089499,-0.022913958002334808,-0.02389490689567779,0.0056264922715567045,0.0005330716182710441,0.04017923332186754,0.05888763738409272,0.06005597206410891,0.10268997865174184,0.04867688686218925,0.04636912915788916,-0.009395990035102556,0.002785129740215747,0.02386159905882409,-0.007973289945501104,0.017131363090475964,0.030081443957363535,0.08850181248404713,0.05061113391434386,0.0545485279893156,0.041529944765056594,0.10292163125747497,0.1089567958151697,0.1661339942641744,0.0005973827126124097,-0.00760514437866515,0.07373265001936324,0.011952134782993517,0.011436263145357454,0.044705091360319756,0.026353050702838568,-0.047912650853057064,-0.053744335782171415,0.08486860268499449,0.05388771468735699,0.06517999959012968,-0.056350837443324725,0.1515494569655928,0.13281106072430082,0.023957663638841237,-0.01859063021713846,-0.018381242160344386,-0.024912765825452075,-0.039919332827414444,0.12578240910051788,-0.033901947379993205,0.02969415616281393,0.009435787769534926,0.041717412714570155,-0.05084864892721058
Shares Outstanding (Diluted Average),0.012717387229987068,-0.0013022228920623866,0.051199346961811776,0.039009637262101715,0.019433853416771944,-0.0071493927253564165,0.056296562837562306,0.03521100696001479,0.01709769930693942,0.02117826322951098,0.057989776108839264,0.012095043869296444,-0.0011265615312274543,0.03703039978264763,0.007858530261464342,0.0464578219482807,0.008354697091037061,0.0024258684740289414,-0.02221433981854598,0.019307033226918246,0.015439533507044759,0.056236370761601005,0.042537426417548097,0.0013453731446682934,0.01896631625530399,-0.01592981171909478,0.02888626897005657,0.007609809081894619,-0.0019905790774925273,0.011533175829380465,-0.0063517570217404415,-0.043448133613487594,0.06466440546816984,0.0361176460597842,0.04994382254459695,0.0397680821464789,0.05644650273933248,0.04433056163085738,0.03468523338474029,0.05849595189629902,0.053579412873447065,0.03428641275285493,0.01984694695450265,0.0433938540189619,0.01520181503201756,-0.0019460519796856758,0.03727306543913908,0.04280132484584562,0.10530255893877116,-0.010618192483690926,0.05982849845786333,0.05064192244219417,0.10255004338534542,0.08123769778578377,0.04883685209099094,0.01407784910761637,0.008425380282121529,0.058449693514171785,-0.005117438477648006,0.021729194703368433
EBIT,-0.034513104452937995,-0.034513104452937995,0.00882122880771003,0.027398039086665625,-0.03581694117466529,-0.05081703232123388,0.062215402854126606,0.00613767834443043,-0.0035530284456169276,0.0010397653389557426,0.021504988293722382,-0.03458619451611748,-0.034513104452937995,-0.01478784600970344,-0.017040608948619196,0.00946346726360868,-0.006866781219153392,-0.014069897376695535,-0.04993977908279787,-0.008395404314383416,-0.02936531230441814,-0.0031784713979401825,0.01168684000183006,-0.02936531230441814,-0.01168677405651356,-0.05014118013281474,0.004454274030766547,-0.0053096537787745875,-0.017278887293833797,-0.019658089888863355,-0.031231170902547394,-0.018616088885755954,0.01891070097781598,0.029914132365013637,0.022156165184812532,0.014492587980069763,0.011515812943984875,0.009514902060248574,0.010497698115711171,0.0037910462491529185,-0.0283280794094977,-0.0009861894646185562,-0.0020457379320642506,0.03584390767169322,0.007703046480042965,-0.00887838105575811,0.004216592758036298,0.017576305016458196,0.013587495967001309,-0.0518416682036541,0.015287064132059797,0.014334151859613842,-0.00014196591530679452,0.022537488052965536,0.028261035587482147,-0.0037127345003870812,-0.023471397593925927,0.029002744809724132,-0.04308357389481745,-0.0007163183368870572
"Depreciation, Depletion and Amortization",-0.04205228401952462,-0.04358878691957182,0.020672306055099093,0.001446743063825646,0.007643321329377513,-0.024162204249427787,0.049609434751867916,0.07296884953461362,-0.0027010871605272213,0.005644505668467862,-0.008423310902554978,-0.04261545717978041,-0.04694264425271238,-0.015775089855910918,-0.03635542110527504,-0.015738936645523033,0.5383109431759027,0.5019728468477679,0.25022505057355193,0.12998401184563066,0.015714009112325993,-0.002108958418360051,-0.013597775883352783,0.05134549323651217,-0.012387631682667023,0.08344934495903145,-0.023855777839542056,0.0466835135266395,0.045961449282353975,0.07301067619662147,0.09061462780714383,0.006459649149944014,-0.009093121445390446,-0.012811883862446354,-0.011868332948228158,-0.02271278894923506,0.02045228641266059,0.009896413460492142,-0.014446238319829236,0.056755751285986686,-4.5366590595500265e-05,0.0015807285214362084,-0.0003020414898627253,-0.016132151262365745,0.007015637786979065,0.001818869587310784,0.008002106150688549,-0.012403425948058773,-0.0056928703232643225,-0.04163770251024738,-0.019720616955879563,-0.018466369592867616,0.01727496083381621,0.007038099252640537,0.007594785361642872,0.006950522933378389,-0.006667905231047568,-0.002174188283436875,0.012827840796832288,0.0162588722538718
EBITDA,-0.031995223516069725,-0.03139017861040212,0.012976732425723139,0.03309391976882333,-0.03604118755122523,-0.05186150898213422,0.0647252533862108,0.017556830704360045,0.0006909117029663308,0.005665435436914647,0.023942569989300905,-0.03030243995933029,-0.03139017861040212,-0.01162749054170958,-0.013558389992123181,0.010452023327078164,-0.002987468736200734,-0.0032240212137471494,-0.025636515420912317,-0.003779065540463783,-0.028362258298448774,-0.002141077088468154,0.009177007079396666,-0.02688160918515023,-0.010367118446627719,-0.049946516712405485,0.0091909506447701,-0.020052449961291643,-0.020205102538477893,-0.014013579304328285,-0.02843035735273544,-0.01793986189216592,0.02148081145228797,0.02899465863267091,0.03202059894028852,0.025781362635113433,0.025140171048077333,0.02035176230885292,0.013462815254141955,0.021427185010286353,-0.02089092119755348,0.0013804927050883845,0.00014276718839953753,0.038911796546083434,0.00904963050550472,-0.014714802870071693,0.015923621599328665,0.02904323028508324,0.015338348469984121,-0.04915562226474187,0.019664211997364518,0.01861115256697595,0.0032833530562090987,0.03980473361388006,0.03070979600553166,-0.007470458811291939,-0.0187566015913218,0.03053738123521514,-0.019025012774521455,0.0014541653213278644
EBITDA Margin %.1,-0.01520692964152363,-0.020216496561012046,0.1227906700256037,0.1053259846693949,0.0059018751620669935,0.03387913957232807,0.041296843746116384,0.016189916164595808,-0.027535435578032424,-0.02142738739385156,-0.00620559530887157,-0.015412531740490738,-0.019096376714377195,0.009992150019000102,-0.0013976792527401081,0.017706267380437877,0.03757101444355416,0.039214499330546895,0.03434428167460277,-0.0002123932185544577,0.054587114882248114,-0.010868706359962003,0.0160020712360196,0.054428799870935504,-0.010320471537135594,-0.014040479185649902,0.042251151649955854,0.05510118004148752,0.05237864276876352,0.014362703797783916,0.04744166021468788,-0.0033212993615601536,0.1142940426245857,0.13315312830894205,0.011501809469575628,0.011743599871829895,0.013099675254626696,0.017439787418208973,0.0160065902915196,0.01856007326307434,0.03185403010419697,-0.017204459318864853,-0.029773617777001504,-0.0051650727409227135,0.04487843689933944,0.04564625814186472,-0.014651076570621625,0.11934678935646958,0.10842524973621662,0.04656911174426166,0.003673163364755555,-0.007120160049019877,-0.01754560840682697,0.012293350785978548,0.09171786769327832,-0.008774306863324095,0.02761146463477986,0.0025127164341663937,-0.009202313695214785,-0.01354415800619375
  Cash And Cash Equivalents,0.07607204664797244,0.008176863865378664,0.11979617700022417,0.03141100116436995,0.01682170414149905,0.06441110587488852,0.12996463096213337,0.05358946755475757,0.028443343868511516,0.0013582693273828097,0.12892546848237083,0.016119676516451603,0.009463978132443835,0.09934987790479874,0.023934133782618223,0.1400010850898672,0.027060411263623893,0.028530564134131284,0.009861026514461071,0.02209125156285289,0.007211852428201084,0.0699489734672645,0.06804229508531262,0.00444234899785295,0.05186426274021956,0.001968773077689016,0.03831742199570979,0.014582368197788456,0.026016403520602104,0.035559264102046816,-0.0029328190196833866,0.06990664228973242,0.04243255941258805,0.04669818567528602,0.05825243511781184,0.11271566552226495,0.14413922230455387,0.14496553264513984,0.12150093172932375,0.03811951836475867,0.11897083060621792,0.04971879058138573,0.029118790960335518,0.05871296571753116,0.055302194546475725,0.02872377609333403,0.0612303194772065,0.05839237228511394,0.06151814798552985,0.0857854934937297,0.07092615435330889,0.05956544302855895,0.0458690110492,0.1781185467654266,0.6719274082927517,0.2522581431743792,0.008849406925238959,0.6696898364972536,0.09908053810931006,0.09291827522730438
  Marketable Securities,0.08447065603715158,0.08095802610172546,0.04054783667848044,0.014631298193381265,-0.03625891222368411,-0.010665680425191379,0.017980253398277624,0.014645995450169237,0.05360444039735831,0.057167492385557836,0.14390582644369898,0.0894467018874937,0.08001152526670033,0.010857510059187538,0.09234845962414377,0.022877157772582972,-0.020324618840803128,-0.0018330310810973126,-0.025336050097886486,0.07609409416309884,0.059938754519105186,-0.010985403874450623,0.025996538072431578,0.06304782464177369,0.007137051335787611,-0.005534658053816069,0.01614177142654138,0.01064339788749409,0.07788179045262936,0.07363764123715609,0.006128177506414365,-0.03379163792131431,0.012232050863611793,0.013172345306590592,0.0851264069062649,0.1395569820588137,-0.03125883228428698,-0.011221169814135557,-0.012328427891240838,0.05496792847613183,0.15266697911222013,0.09788388418978967,0.09616183614233806,0.010255688147313645,0.002718926687067873,0.012379485393062207,0.15313560640837237,0.06753555661201137,0.04667316787812488,0.043625264894429416,0.07802620810724512,0.07322268847026653,0.061329918307248134,-0.015123068548990412,0.013085828917785798,0.05592305214070802,-0.007051728667391533,0.06344701402534299,-0.0012085498683655066,0.0597773262715093
"Cash, Cash Equivalents, Marketable Securities",0.09691962997123842,0.026227053003727574,0.14134794409839033,0.032627170687518796,0.022467825320271306,0.0837221598643752,0.14534731877852416,0.044863211315650534,0.0246767468094098,0.005363421911494347,0.15065073384766312,0.04568884282970928,0.026227053003727574,0.11688965283259498,0.022991365847823374,0.12566124511401178,0.09087303825156993,0.08971794451696592,0.06675249261608646,0.07917650365225437,0.07100136068138535,0.08132990121402094,0.06221773220492775,0.0717281720325863,0.12124168680879532,0.0015232040177263035,0.03861914836549106,0.03840683738018687,0.09027462523086334,0.10712951148731661,0.06118296054282221,0.04442185782981463,0.052761436388082915,0.028215730173592937,0.12332361840464436,0.1262203482072239,0.07220411221909592,0.12294389274490555,0.12458505621583121,0.07316419351378078,0.08221193086976425,0.10124431469883312,0.11861335926377864,0.05364817986079837,0.03798134737002258,0.027635486298051872,0.11984234512362965,0.10028602440195195,0.10403471460663075,0.04735484320811311,0.13100962106925917,0.08498755888267531,0.10137875106277124,0.13221783894348443,0.11355321375328206,0.07318210682184825,0.006862240427548294,0.13972359795241382,0.08470990790788409,0.11073884693342649
