,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,"Trade and Other Receivables, Current","Taxes Receivable, Current","Other Receivables, Current","Trade/Accounts Receivable, Current","Prepayments and Deposits, Current",Total Non-Current Assets,Net Mineral Property Interests and Exploration Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,Other Current Portion of LT Debt,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Notes Payables, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses
Inventory-to-Revenue,0.15189738132570907,0.17038539631682248,0.08557045937857805,0.05429915360585194,0.02978768917878284,0.13523114812503945,0.07892619460472051,0.09473458368534637,0.18330465417636854,0.06829293299239972,0.15120334536225666,0.08706173321964536,0.04404907673886958,0.09957920574004378,0.1488462994402824,0.09581883719318156,0.1001817330219099,0.0999784161651312,0.09460436194242135,0.10513165446223728,0.10275121266282727,0.10190319374443613,0.07769603029029473,0.08025051334108878,0.10989232314684752,0.1277060277198599,0.13075360390579643,0.09319734512128797,0.09669027584003931,0.09683085810573232,0.14223587917391506,0.17763831993622647
Capex-to-Revenue,0.054465560122507334,0.04197815550020664,0.005525076527474488,0.017010378557481363,0.010380434584991067,0.07503702079248423,0.09814280664980855,0.03977964457774677,0.04572357890937455,0.021932025751465696,0.02422246313841109,0.011179951292894827,0.019095457150683098,0.05186027847822051,0.09098381078290087,0.06551387628318966,0.0719814451814546,0.06700709673635187,0.056414226931233255,0.05668007625441031,0.057846670106464854,0.05710800252159543,0.06855122714118662,0.06114407396091973,0.04897380347174609,0.07370165393652561,0.059065065540720114,0.14191420622473744,0.08297085232405782,0.06619568360560699,0.06136985774278961,0.04656238920247625
Capex-to-Operating-Income,-0.012625359988623333,0.0234549707830478,0.07026113775417352,0.05131354110467397,0.01303590752088079,0.02320545731693416,-0.0006389282196979458,0.014684781512862937,0.026746195318701378,0.014341187701264517,0.04887909633176995,0.08379611225044759,0.05551485634920938,0.015965421240838374,0.0760010021461681,0.02963960048194507,0.03128318456058456,0.03349606248031009,0.03047557860027005,0.028702423986713296,0.024704330027604943,0.0276321668768897,0.031554948752835446,0.04057595376978482,0.014288914490166532,0.002909481276679293,0.008750171210217528,0.08233090909874753,0.010865678559886198,0.02162202684474555,0.01777097461181602,0.0493230106234425
Capex-to-Operating-Cash-Flow,0.0015289733049380643,0.01536154044226216,0.13991309382293904,0.1348446665538045,0.4800069415495762,0.02694842053106934,-0.015315901835534973,-0.0014090381761252008,0.027918626743287565,-0.016524361619930556,0.038246515365440804,0.003080495070917009,0.04175158297054164,0.017982259307205085,0.039454249327901515,0.041180207326131334,0.026807508480942873,0.03277940258531789,0.021850184148284425,0.02308016702567505,0.02732645106836743,0.02989547472725045,0.04108604692263153,0.038676418991654894,0.02199573180409058,-0.0006585702448987582,0.013578917293579205,0.017326062418839192,0.02736694138722341,0.009945710887299137,0.024071313366392774,0.029463928740055736
Revenue,-0.0504620615809139,0.012897898926689487,0.006464700161902811,0.028032324904861624,-0.009920019140149519,0.011959002700460287,0.04715989304912895,-0.011818930176420505,0.023346373407955274,-0.009929545162123705,0.029833074632420884,-0.0023677071803883286,-0.0023642445386871246,0.008640904788995861,0.09426157389158205,0.017340861851656283,0.012133311497562405,0.008728196226233425,0.019136232372276372,0.021881877075039715,0.01766621274956022,0.013449388305716741,0.0033881798573990717,0.013296299923092069,0.021272566950050552,-0.03687149211432881,-0.034416606741448974,-0.04473081797635662,-0.03881817763059722,-0.03562256173375043,0.04079456215843864,0.01779660690096567
Cost of Goods Sold,-0.03784267869468156,0.004941698490136791,0.01528197249077665,-0.00034542135581950954,-0.005606598347450202,0.022283558940559913,-0.010559064472740997,-0.0255470652046021,0.016787061908025303,-0.007951079359169529,0.020461859216353673,0.01027788885572461,0.006848235520156251,0.008367497499364442,0.010962688982955477,0.0005659264432341511,0.022511040028333956,0.02316195040813872,0.024963449187775766,0.026933392412125938,0.02263244039790081,-0.0005878041129120912,0.01392867880639763,0.007964372971636319,0.016595396222367928,-0.032580236879724146,-0.0320464553739079,-0.024092199420427042,-0.013120632642759578,-0.013735698575179039,0.0015600266769187025,0.012409159247564118
Gross Profit,0.05817163765273959,0.006692795783852251,-0.0008733585669431541,0.0004671055809407072,-0.001261464446322969,0.002997803294682782,-0.008731267730889856,-0.0247906599877189,0.013210203534547806,-0.00530570753736798,0.02230947070167935,0.03246006071125017,0.02223301224422537,0.0074870047842969115,-0.005256807999662063,0.010786573845638399,0.003912372550305884,0.004553647125117074,0.016629935297240873,0.021080329268824183,0.010675827595932502,0.01199810428383259,0.006908233049105674,0.01064839281295585,0.019859383382002674,0.058228786895848664,-0.018716278345980525,-0.0015932689650087323,-0.0030563088816481505,-0.003994677388402026,0.07441822196152953,0.07592756062995853
Gross Margin %.1,0.04624382790927014,0.011321261592745463,0.010824768168102523,-0.042470508902516226,0.005132705369844873,0.01503615132695039,0.0009011273983178716,-0.013008665394930348,0.0180092687101861,0.0024025082254815703,0.03372111728328195,0.034199921489336066,0.005500535520086517,0.003440054225839542,0.0091522848351396,0.03467198459002284,0.015437060030026505,0.014156947155550714,0.013825957072505312,0.013545234263873576,0.018106931546608303,0.025963145239890673,0.021383376090927535,0.01390974348992558,0.02419079032009693,0.04929228504882001,0.03858669951267694,0.0651179724420336,0.0458493339840379,0.058302563548725116,0.03707811841758187,0.028490741702505557
"Selling, General, & Admin. Expense",-0.01889571944105113,0.007893743989760957,0.039013122120532547,0.03908901527198603,0.012734370253033428,0.023720275066704866,-0.006058696505980392,-0.0055746555187182675,0.0191670415216537,-0.0031670322944351834,0.045939979439067816,0.06910829276328409,0.01156673481189354,0.003318265113260121,0.161138766828824,0.019718199156199795,0.019827151330498245,0.01662591156241357,0.020575919152623225,0.01662591156241357,0.016836219548990436,0.01900981101958911,0.021528889374114592,0.004373577457271019,0.018021689346877562,-0.011433216163594814,0.004945174971825427,0.00921349376601359,-0.009105040370162144,-0.007496576937708764,0.005439996480683512,0.021649080630351064
Research & Development,-0.006342050397515745,-0.01971880318065707,-0.006485558021170049,-0.03611255211341127,-0.05467133093062153,0.024520226582056916,-0.03137355494036377,-0.007153955545011482,0.014265565658874817,-0.01619436768363683,-0.0323106900433018,0.009839865290669932,-0.03965605906441131,-0.00562162057584904,-0.046571305564735564,-0.011318047365954856,0.0007602069425153694,8.240500733513708e-05,-0.007649541218560683,-0.00805146287186358,-0.011787533268437482,-0.016199547206762907,-0.012097893205807054,-0.0037418596463080576,-0.009155773751684707,-0.004461073676350923,0.001252793177018664,-0.0014919846343647387,0.00948518695631452,-0.003153171998230368,0.009082828141838709,0.03282622654618805
Other Operating Expense,-0.016034158081293052,0.028051767001245925,0.03318810474633922,0.020988593846137365,-0.0025482357419601915,0.06342088775735466,-0.006633790080653653,0.03475263044764741,0.03541144277938824,-0.00821885517114909,0.030496631946989324,0.05144894474351895,0.008854449469467899,0.026587537896703962,0.14942671470728902,0.03270999061947784,0.035519016530409564,0.03830691481702665,0.04734618597612688,0.07362731442661714,0.03718657191122446,0.03416738593538334,0.038099253291688714,0.03935623057773317,0.03660761788458575,-0.010392462884945195,-0.01906725128040046,-0.005470557360960426,-0.013902154923992582,-0.02019723004700231,0.00017848922687679339,0.03526417690704341
Total Operating Expense,0.027909193847462828,0.054345112919017474,0.03733056337119151,0.0403537428574824,0.012563327801264049,0.023726021038586956,0.00952037650457342,0.007701315327494794,0.0205399280386112,0.0036426914463839884,0.08445612246876581,0.06504504187128714,0.15494590318937052,0.06839639019575963,0.1468080701886647,0.03321538553144167,0.040409012329233336,0.02736317335863651,0.03335599839143835,0.021114150301041648,0.05981668056115112,0.024959515682862806,0.04590784374462714,0.023087000536244424,0.02333771942228915,0.03451603316671488,0.01331009386653801,0.0130051001316614,0.03387469083944336,0.011191738845588436,0.022264953190433607,0.028550462927705102
Operating Income,-0.011309542195242415,-0.013754829391538836,0.045701263778964815,0.009940640805208449,0.005887312944991614,0.019263722393800434,-0.032937457738298696,-0.014206350709606406,0.013859980630330313,-0.015475593246507111,0.0017346071885482232,0.06997544515342587,0.03743152919999198,0.005795156244545506,0.08395889983354926,0.013798103428120358,0.017820757638394386,0.016890391021906585,0.015251790377253714,0.016089113257015602,0.015047320488205089,0.015701940149225404,0.021861672580373286,0.033103984522169505,0.001766945659875633,-0.035555414387280715,-0.008717029848688957,0.0010230534059829618,-0.015407174102840307,8.835585847278421e-05,0.09054231737036865,0.10706337419796177
Operating Margin %.1,0.025796107690884158,-0.007479684287484661,0.024939833241534377,0.00689787930343874,0.01096345393771673,0.03352177717260789,-0.007086295802758966,0.004407973817873199,0.02541792063717656,-0.010008550379484567,0.010350276307637192,0.05804972630821905,0.03303754308808893,0.012847913655436628,0.020346952982339083,0.035675644924411984,0.03973162008983651,0.029833339735651294,0.01882873579200735,0.018408293862194496,0.020647703321368057,0.03477232129252631,0.025650251956958487,0.024656395627455703,0.008156729104420396,0.018124706955802868,0.04671577644329747,0.06435726238277246,0.03902258321572163,0.05085808539656119,0.04454381112588846,0.03555717823512632
  Interest Income,-0.03167043632692003,0.026909856478836643,0.13202748851974613,0.050158422596260376,0.011017481956921944,0.0177680198988477,0.05588499520999404,-0.00823254273887457,0.01952520817544743,0.050833616523904626,0.05111906642343836,0.08250640887507145,0.038757046904972656,0.0012922218181392613,0.11104846290936068,0.09706543795036575,0.04136243606608774,0.09941565995343336,0.09492036537351191,0.02418148825399955,0.04150607463232033,0.09387370538389157,0.04107669911942601,0.1123246907683847,0.04445663581421038,-0.033225645981756986,-0.016220639378116693,0.0025401115786031973,-0.007741328048514412,0.010051035265313042,0.05298375097984196,0.10573346228642527
  Interest Expense,0.014598458564364248,0.041082229513291976,0.07294035484315449,0.06632125717538384,0.03608122947214171,0.05219276706358528,0.011869731093731191,0.018623526453441917,0.048139696166364584,0.085931707764513,0.06187768456064768,0.08973264162973359,0.14645963536659953,0.11055800855409562,0.15866619329424425,0.1256532535530945,0.06965181804675405,0.07529502164403476,0.12791679535499606,0.12134295986082874,0.08148044698867268,0.12570896884101435,0.06920223130610735,0.13309800869496258,0.05182589825823196,0.0180888645907518,0.017189913150504693,0.01955486238256117,0.033897568615328263,0.036260916072360636,0.09808876113513644,0.07105618140754275
Net Interest Income,0.08182046473916729,0.11214849184214544,0.09374737250390434,0.06751268059049205,0.021429277859662445,0.06109563612518461,0.08651581180612747,0.018713412072699002,0.059643479060392704,0.08401955303617341,0.14491193584156942,0.09828807073759052,0.05239436602823605,0.049308010585132254,0.1416328940623302,0.07114098694852582,0.07178322080428898,0.12597178794227948,0.12644092242985608,0.06227001394239956,0.10488923329582808,0.0762712450227033,0.05582575138470962,0.13397654736226916,0.05310276923119659,0.006301999475758477,0.010435572427387154,0.016510497212516143,0.018886348446099908,0.02924139474803055,0.09610862334056404,0.14745344242572106
Other Income (Expense),-0.0012774868889230098,0.021853946794637414,0.04402014372429419,0.022911379731499707,0.00917194795354953,0.04422215275033424,0.006664525804541867,0.027703071047870988,0.02539243996111273,0.0011467258132459367,0.03201307454584118,0.02908271174697301,0.02384187404842156,0.006924040747072712,0.13140616418012635,0.034268843582976244,0.03702417933227263,0.039557492593569665,0.03333015901676037,0.05908936551975153,0.028756220211507873,0.036809196667870824,0.035953023795778354,0.03123061889811284,0.03280077963792088,0.007965409870332434,0.0030804746022620837,0.00586328332116022,0.00492063803179091,0.015504908592996343,0.06955911551404417,0.11688045458280165
Pre-Tax Income,-0.004061561319148007,0.006084762057083209,0.029974948392793414,0.003057755065822185,0.0013177600791971912,0.008968166986838578,0.020082375476108943,-0.005601787458798562,0.022583525685120377,0.05384554502954023,0.02968779757817074,0.0341285199103543,0.030628482279407263,0.011254994070071063,0.06929736571814228,0.015966418173303472,0.013567932447802706,0.004985171043913592,0.014315161223092504,0.01982289170225892,0.017926714608957308,0.016303447466450766,0.006697096480321837,0.01743522565689734,0.0040352652041834945,-0.004998288815720459,-0.015269432631554416,0.009966819250858553,0.0009770125543086994,0.014300455303032426,0.05492670098600709,0.1042060486998145
Tax Provision,0.01204532975381337,0.030358555422200225,0.029896308342221754,0.032601791893225394,0.03172175880666691,0.02055505010489507,0.22725454185939784,-0.0013456111399339948,0.023059028916295618,0.009981474278523826,0.07890965540705543,0.08314688601613597,0.07447128964729437,0.034373419839259005,0.03578287660047133,0.017567235411339786,0.04934282645064989,0.03721156764602665,0.04888086294018995,0.04660398889134658,0.04459664175349863,0.030521862248657876,0.04821160794645127,0.03956485622084495,0.03966707804105952,0.011723564483753605,-0.0002805550093930545,0.014288195087415335,0.019438278581027372,0.01823146061764784,0.01641930935453716,0.035273315060099474
Tax Rate %,0.014064789896140493,0.010081537124402148,0.010840946025756252,0.01020107421744252,0.003209891814531087,0.034934820600534724,0.0359654302491529,0.0014809290713369296,0.0311931509033754,-0.013002436470220992,0.038465464142464385,0.03340062954632324,0.03665381034478475,0.011450373938809528,0.0068558729359439905,0.024913254784967573,0.04510111037308362,0.023311502562083763,0.029790526637590038,0.018496417203466276,0.03175997090580136,0.026029685707010503,0.0448408705387816,0.027165797410992298,0.04426327971778304,0.01179997472769275,0.011777585428866814,0.02731824714912007,0.03142872979646663,0.016365940727502085,0.018212003112428182,0.032992172172321754
Net Income (Continuing Operations),-0.01415013066058574,0.014710541544034138,0.041568686961906756,0.03610815892089017,0.01332334343784545,0.017080737856234623,-0.02245275490321343,-0.010048501617601494,0.011800072113824086,-0.006534249582405897,0.05042098215163698,0.08279042029646524,0.012737346859620404,0.004060838767599334,0.11433813760109937,0.013989016393773465,0.03812338744275044,0.02675725718389867,0.039542295966494924,0.036414612501939427,0.008569210746962711,0.017205007759961602,0.03898717633859983,0.01659505307322692,0.015158780547895913,-0.027770537717380965,-0.010458681070847284,-0.006019727510195616,-0.0200306464870108,-0.010910338248110475,0.07449700002813081,0.10550138754586397
Net Income (Discontinued Operations),0.04698241607531059,0.015859174476833087,0.023900651490346734,0.040231740728862965,0.002767543165934716,0.018871927847237954,0.05016002513410111,0.0474463881677521,0.008912461099276278,0.04715746372796309,0.0840900318577097,0.061558306834059814,0.017210440234063536,-0.009641895042129587,0.09439599103346363,-0.0005629093077517593,0.024494442807399402,0.010621137459721644,0.024084874739322,0.0169450464506926,0.023891971426680463,-0.0024312174649759417,0.023374036397967445,-0.021575536711207183,0.007873325001211823,-0.0022287579787921815,0.020706434546327424,0.01915177775678829,0.017430839612657553,0.02793440940253686,0.0525244480442232,0.08666420530862891
  Other Income (Minority Interest),0.003729847048116098,0.04865928532574782,0.0916362263399223,0.06370056480922764,0.03713536608781986,0.07114344961910524,0.03274396374699741,0.05254256497448518,0.046864229904438906,0.04047825423377646,0.07111051209948782,0.10518825064064101,0.06092494260565603,0.03641046105989139,0.14386966274637256,0.05960164156717652,0.0683920815752869,0.05997559926528096,0.09339485705707261,0.10584445963020926,0.06272620809972425,0.08091218982623927,0.07101979228489773,0.05766589868956153,0.0660294883753014,0.03249154882201568,0.029115410477865797,0.029074081051723266,0.0242691979090106,0.035747414545336906,0.11303487394587729,0.12989734816868562
Net Income,0.004246986710891613,-0.001357124847448445,0.04537172302288858,0.013338355253133987,0.0031747756900446073,0.004166976922604937,-0.010416941049129326,-0.016797481327719545,0.00985975704492379,-0.012907427033266432,0.03989555047948371,0.05201016904491125,0.01427390186736628,0.0032655082777892294,0.0751523541247677,0.020546108443681883,0.007966989403142223,-0.0027886802941042553,0.007886800528074028,0.013046793220616717,0.017247303977373167,0.01898304857981156,0.006234290488247363,0.014059270438798389,0.0056008856467709926,-0.0204028810846876,-0.024226636988055245,-0.004138633662771134,-0.011020374346031335,0.015191758930650013,0.07645275350564065,0.0970028310112376
Net Margin %.1,0.052897522763014224,0.00915376378913483,0.012619168490614946,0.00544811822336235,0.006811982814909582,0.01905122930412723,-0.009037919325819056,-0.010325440642267387,0.01669426061967331,-0.010727759763837835,0.03299774780592323,0.04561136822472574,0.008701082146898728,0.022421474724303635,0.006436160658610218,0.039281505952164314,0.024315091748067747,0.017615988278918436,0.01867845152840697,0.019427565951977005,0.023155997693897503,0.02498065222822426,0.02363702183370576,0.01875274326183177,0.00979223414771127,0.060027198475078154,0.04509060529844787,0.06988498936665752,0.05104613893071274,0.06295442508709986,0.04530395456552658,0.01794071184270181
Preferred Dividends,0.0024306690684360614,-0.006064311216072338,0.03932799730741508,0.03762358923429136,0.001943342223486123,0.009055070135665234,0.04735261821549854,0.05508191969979571,0.02046332519669681,0.05574045708711652,0.030499980143441418,0.041086131931086026,0.025719508672409436,0.001127823344850256,0.028416518985278992,-0.010557057655476114,0.01129957792333013,0.011102079262596532,0.01726099778173331,0.015070850404485569,0.008216390021579952,-0.004440171259528448,-0.009851694001033874,0.014704474564110087,0.0074432151785897155,-0.005944780752341848,0.015445183822790481,0.03142306339345198,-0.00320180141966771,-0.0045374777198602945,0.05791197592396222,0.027466995113317506
EPS (Basic),0.1127500447125598,0.08251337556509333,0.004632534556146399,0.02502256062230515,0.01697218902356809,0.08483929504722611,0.07493565626221925,0.057699548370301265,0.08520113452156546,0.1056575581999007,0.02572340622099481,0.004440924794858157,0.053442803606980144,0.07975219400705327,0.05573886983387129,0.08072101492133263,0.0574959860788192,0.05328633182005174,0.06197934446584244,0.07895578185794054,0.07833123223370007,0.06799970359694422,0.05565569551637434,0.08331950572602483,0.11302243140844404,0.07274661742062583,0.06408827534868651,0.08320438174868754,0.09357634508007241,0.11371759346418242,0.043238133872687955,0.08857795747677265
EPS (Diluted),0.0713018215788914,0.059795895786087426,0.0040220663970664235,0.06001627597493692,0.002551188628140046,0.08911560605173058,0.10961851884398625,0.0881135136782905,0.12032946015428855,0.08850753229392344,0.02985769377841549,0.003980205914781071,0.10986400097543125,0.12124920233525956,0.08061837923997806,0.10078486699653506,0.04917052272521162,0.050776751165566174,0.1067356408377125,0.0833400763337142,0.13101432997261675,0.08929050924736727,0.05085907569499874,0.10506702699467708,0.12703696279474383,0.10970990640904574,0.06811297346145147,0.08370233907600508,0.09246381216335195,0.07535944560347217,0.061570542146075,0.10241021196792606
Shares Outstanding (Diluted Average),0.013154205712694426,0.0685179999523208,0.025463812360170302,0.004931651278514491,-0.013489023180605318,0.014876136486945123,-0.00786528241222256,-0.008823367330326988,0.020246304460850108,-0.002634119836241293,0.09207806676693284,0.03498609323024422,0.006470016806045528,-0.001880523947382787,0.042574033296216895,0.018165254691429565,0.019746963835311184,0.030526797586152857,0.007579926794497359,0.01737926377900836,0.018776897526379736,0.02086479274719137,0.02518332604453997,0.021615884189092733,0.02224588887444253,0.014347510042278926,0.03610135951232688,-0.031047551154814623,0.01674972248640709,0.011572308160205316,0.10001317649319366,0.02136167448695166
EBIT,-0.022884644749913752,-0.028815618076879313,-0.04740753761964424,-0.04083361660005162,-0.008747330893332562,0.0021035651564720393,-0.047286697565270375,-0.025343266592189505,-0.006864888291873067,-0.046727545861675546,-0.04779652124962125,-0.04609922607664392,0.042102903355146784,0.01072513202630966,-0.0034184404250508105,0.015732689589697847,-0.021817089640380167,-0.02397454309393732,-0.016682958171650157,-0.02145961017397183,0.007467084811621849,-0.0018281433311299498,-0.023435370780940556,0.006511287158208149,-0.014117769537679811,-0.015248182067673779,-0.04222490843673172,-0.030765569364551184,-0.028660116311571268,-0.01620553431943803,0.007448987622663715,0.004198446925450915
"Depreciation, Depletion and Amortization",-0.04298785382231773,0.0016784836958453752,0.0464232906244089,0.055909434064233716,0.004145188272772994,0.04266514040341618,-0.01164001714597274,-0.02277646323718187,0.02329073644363836,0.019325427735362402,0.032403661795064834,0.07706152622498083,0.004053829664475835,0.003966436007126945,0.05483368639010696,0.021200839055031798,0.0703649297829084,0.06102538044891914,0.05847828670619601,0.04901528508882336,0.017980825894638064,0.021324882531994205,0.06543930503453023,0.003673640251205853,0.025921574033544195,-0.03846069917784165,-0.022615307286957372,-0.031731150272396855,-0.030333684707357544,-0.03130468601760868,0.018879459114670143,0.08922976985754287
EBITDA,-0.011079800294425552,-0.011944690595706187,-0.04854762726236416,-0.015550417573736788,0.0310325150029796,0.004084166656485892,-0.038550975150665474,-0.02535822516255555,0.0007898397152490677,-0.02900639083998358,-0.0030689710229579205,-0.04488660090680168,0.04037316279851924,0.012257787205847455,0.00042535201596634743,0.016975269606446155,0.005413056501769913,-0.009459927985552955,0.0054721356451883285,-0.0035285556589658355,0.016961953670551106,0.009067511486520408,-0.005219514447725593,0.02310127577967147,0.0001398953429693411,-0.007775683302776816,-0.02807901181764244,-0.02444751767539181,-0.02191764036813644,-0.015479862916919511,0.010391444785125587,0.0046136875242433935
EBITDA Margin %.1,0.03620464377274444,-0.005959968066173179,0.015643795398260774,0.011504751319609867,0.010673462816682728,0.017839868366764506,-0.007972605101303766,-0.007366906516989551,0.008620228081106471,0.007840344861696616,0.009446509481947885,0.022009362531129555,0.032695750886878955,0.009208235959625864,0.011349091286246043,0.034865025067460025,0.02439815390063334,0.023217654032093492,0.018471862257346112,0.018471862257346112,0.02242417413465022,0.03477806936803447,0.02377957181982813,0.04049455008925608,0.021555210146292397,0.11351573941246627,0.05474630793113887,0.08043013308301764,0.05995789073316522,0.05658507465238228,0.0409181563752472,0.0177611509679495
  Cash And Cash Equivalents,-0.015333321752875478,0.025713699368424915,0.06905584259330898,0.9175949151711171,0.6086086196243395,0.045289646280440576,0.014059190069345152,0.0743845330454584,0.03167374133913023,0.03801886372217648,-0.0018637852371626133,0.013732508706283572,-0.008100069950738179,0.024943992813346024,0.008553883292117728,0.043263884837660777,0.07005221189633089,0.05739847651953174,0.03837584905684855,0.03529612821321197,0.033725475464999176,0.033078198310210596,0.05766267102615725,0.01760122094976071,0.08012214201913484,0.010549707459806865,0.003909231152965106,0.05886473017151682,-0.006411904776485453,-0.019496760206283117,0.01898605595225229,0.033230861305873764
  Marketable Securities,0.04826229992990055,0.06394010144150422,0.07879105194597805,0.014405494300471618,0.0025681378365004404,0.09668144946156329,0.0012921784766884044,0.010773393991654272,0.08407678578197346,-0.03691814974817721,0.09008491338610232,0.02770895360104737,0.05208720920543773,0.04524418411395162,0.029292230206889987,0.015422355938289913,-0.009888117744978026,-0.006887462593538134,-0.0020667811686336367,-0.00801783560468847,0.03415257391083477,0.009237270958332672,-0.005229651725942787,-0.01450256540810484,0.009176668377541199,0.007682489653780133,0.026625850436705557,0.02722289878940914,0.07683072191098063,0.07335898749422587,-0.0034346799770272572,0.01066900172131271
"Cash, Cash Equivalents, Marketable Securities",0.02719745447420975,0.08391486215976145,0.27627178295324645,0.17343451178764613,0.39375397196700335,0.10391931436838125,0.011874404081972538,0.07179550720312206,0.11390074020808322,0.074761486977948,0.05761259327438539,-0.006564692411299185,-0.0024512962436377132,0.039414644300020805,0.008476076549744504,0.04565794440302715,0.041653963674066506,0.03662361989700094,0.027340729347254247,0.028681768904830433,0.05228107469070271,0.044938476575260046,0.029560612388173355,0.017130932966112334,0.09592494369172518,-0.021879098545343256,0.024912213461163388,-0.007392753827583065,0.02984202152204668,0.029407078309511524,0.017065031665970613,0.03790468907026048
  Accounts Receivable,-0.023092320970056625,0.027372585303472762,0.002962831024481264,0.005041377022524415,-0.012570740936393845,0.056772324074033216,0.1001145953709231,0.09801747225577433,0.47889550693636534,0.05366400795620621,0.0034760457001245543,0.0015185056228437434,-0.009683263303066611,0.01639292431175722,0.0524899677902793,0.0930098227024889,0.025906877744426113,0.02299027760147437,0.027294929792585056,0.02695264165541813,0.040315350990092945,0.09565045004851191,0.03703122353768282,0.013951102767778847,0.1094563651004073,-0.022323476889234726,-0.0048550371933451285,-0.016176772120498114,-0.01429746000795512,-0.005463313889871559,0.017693327373215658,0.023270701459043065
  Notes Receivable,0.02907515239419827,0.001559035856525325,0.008075825910035764,0.09197188907356088,0.04384886536883482,0.030850718022184972,0.06827719328403536,0.13383621593254666,0.03339782824489221,0.03922752781045379,0.03935721382179685,0.0027679941863079528,0.0287110227122839,0.00853559451408235,0.018341889596493025,0.008223775055987913,0.013085221757236502,0.008331998282612106,0.012072306072312801,0.011780411001510652,0.00871140596304335,0.012127381962320662,0.013718830110495463,0.015458071772602631,0.05238608109021624,0.026672127200598087,0.012363531756904916,0.029481418408848967,0.03397674952429989,0.010383537731559646,-0.0005008611287197011,0.021908934002523202
  Loans Receivable,0.0072392125000553895,-0.009621733933971675,0.03634688377761226,0.03494901046099977,0.004821153152269764,0.04409440531746782,0.0828706472867877,0.06762486307448043,0.03339782824489221,0.10047321056602697,0.023694025857012496,0.005394841972068275,0.04459962094745749,0.06045519963033076,0.08815286205564692,0.0571267559562018,0.026772971259424575,0.062013518222219816,0.0571506254746233,0.06725920555856277,0.062001268919885236,0.0594149030278007,0.060424619359976325,0.062251424237639026,0.017061489036544548,0.017610009025318205,0.014780220489514218,0.024011065828812933,0.03435140762204522,0.03022475838276735,-0.009917260236442033,0.014212518157193134
  Other Current Receivables,0.02322894598619791,0.08049146621396577,0.08303736232422582,0.05206583632820165,0.006669288182000837,0.04708074735924732,0.11684107476352439,0.5325861101422785,0.06243838026188661,0.1302606235416556,0.11458507360722534,0.03513704096737688,0.018232749793019486,0.0833372909732718,0.07773180289079752,0.09643159969790267,0.028818347526453684,0.013699313732261853,0.050375238028381335,0.10019293487928094,0.09857628610659183,0.09856150360940444,0.0042503552230035106,0.008902524417269776,0.08555822797796395,-0.0013459572705789877,0.04154652461607644,0.023620317206654827,0.011814625606978716,0.006517250429090024,0.0014872967642188526,0.0702951420027035
Total Receivables,0.07766445008001924,0.11624397121455951,0.007342267194805875,-0.005913581963694924,-0.006408116598999418,0.13428794388642162,0.09985113993756285,0.08724905891438337,0.06045578897686401,-0.006834943333437088,0.09393013278912021,0.0019373089652375592,0.07266236137949954,0.12075434995562762,0.07848658968275185,0.03042659187326138,0.038325369199310365,0.028159621686544012,0.02369969896912595,0.040074402535160245,0.12995408315327991,0.03018214361145607,0.038264341105673574,0.017412159905135043,0.09518546901051853,0.08693223553456553,-0.004714389028281766,0.0012730184203638187,0.022155224824481522,-0.003906523240055195,0.04687844921448162,0.09431278546117364
"  Inventories, Raw Materials & Components",-0.0027571350572809785,0.0212043994639933,0.0538114554520024,0.03645724334044326,-0.0008273844526795796,0.04345169225340071,-0.021977515866049915,0.007498310690569056,0.03589563739446225,0.016401369507756818,0.03397639656810798,0.029002393672332382,0.031200821346118908,0.02152194213829465,0.053087471424218366,0.05624468749943818,0.034883936890576776,0.043726439498341006,0.038245371592593676,0.032356972096005014,0.039331026613460926,0.05848655009157032,0.031962593734825996,0.019625213655281706,0.0506600764976556,0.002636655875873075,0.00429736220336416,-0.016708227359526543,0.0018626934397602186,0.002866404386376163,0.038057232521244384,0.04741438029161069
"  Inventories, Work In Process",-0.01303339031523417,-0.021102620623935545,0.03840502194292891,0.03714429479110602,-0.002941850818557436,0.08238989287213809,0.05359668445417662,0.06958370608760496,0.01984993289476839,0.047261347106920586,0.029623756475284237,0.036411009216242504,0.03418532890176271,0.0010321136042589201,0.033785012450141684,0.025169736523840115,0.022641306968297668,0.00881368283584782,0.018125502812278364,0.014016540293049622,0.010907289341581845,0.029807466728461962,0.004866027455366792,0.0011553843030447384,0.024125226166695244,0.002587571166373522,0.019135292318592463,0.04099108112283662,0.013802867509626813,0.02480742338797766,-0.009081023601667373,0.008534278964481015
